project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test010,"public void test010() throws Throwable {
    Options options0 = new Options();
    PosixParser posixParser0 = new PosixParser();
    String[] stringArray0 = new String[8];
    stringArray0[0] = ""-"";
    // Undeclared exception!
    try {
        posixParser0.parse(options0, stringArray0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test021,"public void test021() throws Throwable {
    PosixParser posixParser0 = new PosixParser();
    Options options0 = new Options();
    String[] stringArray0 = new String[1];
    stringArray0[0] = ""--9ztaVFbB="";
    try {
        posixParser0.parse(options0, stringArray0, (Properties) null);
        fail(""Expecting exception: Exception"");
    } catch (Exception e) {
        //
        // Unrecognized option: --9ztaVFbB
        //
        verifyException(""org.apache.commons.cli.Parser"", e);
    }
}",0,
project,0,test032,"public void test032() throws Throwable {
    PosixParser posixParser0 = new PosixParser();
    Options options0 = new Options();
    String[] stringArray0 = Locale.getISOCountries();
    String[] stringArray1 = posixParser0.flatten(options0, stringArray0, true);
    String[] stringArray2 = posixParser0.flatten(options0, stringArray1, true);
    assertEquals(252, stringArray2.length);
}",0,
project,0,test043,"public void test043() throws Throwable {
    Options options0 = new Options();
    PosixParser posixParser0 = new PosixParser();
    String[] stringArray0 = new String[3];
    stringArray0[0] = ""-)gOJR9"";
    String[] stringArray1 = posixParser0.flatten(options0, stringArray0, true);
    assertEquals(14, stringArray1.length);
}",0,
project,0,test054,"public void test054() throws Throwable {
    PosixParser posixParser0 = new PosixParser();
    Options options0 = new Options();
    String[] stringArray0 = new String[4];
    stringArray0[0] = ""*','dA"";
    stringArray0[1] = ""-W@L-Nr"";
    stringArray0[2] = ""-W@L-Nr"";
    stringArray0[3] = ""*','dA"";
    String[] stringArray1 = posixParser0.flatten(options0, stringArray0, false);
    String[] stringArray2 = posixParser0.flatten(options0, stringArray1, false);
    assertEquals(14, stringArray1.length);
}",0,
project,0,test055,"public void test055() throws Throwable {
    PosixParser posixParser0 = new PosixParser();
    Options options0 = new Options();
    String[] stringArray0 = new String[4];
    stringArray0[0] = ""*','dA"";
    stringArray0[1] = ""-W@L-Nr"";
    stringArray0[2] = ""-W@L-Nr"";
    stringArray0[3] = ""*','dA"";
    String[] stringArray1 = posixParser0.flatten(options0, stringArray0, false);
    String[] stringArray2 = posixParser0.flatten(options0, stringArray1, false);
    assertEquals(4, stringArray2.length);
}",0,
project,0,test066,"public void test066() throws Throwable {
    PosixParser posixParser0 = new PosixParser();
    Options options0 = new Options();
    String[] stringArray0 = new String[7];
    stringArray0[0] = ""yes"";
    stringArray0[1] = ""CMWM0Ovi+"";
    stringArray0[2] = ""yB+[.?~{?;B-PW_"";
    stringArray0[3] = ""CMWM0Ovi+"";
    stringArray0[4] = ""-AD"";
    Options options1 = options0.addOption(""AD"", """", true, ""yes"");
    // Undeclared exception!
    try {
        posixParser0.flatten(options1, stringArray0, false);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test087,"public void test087() throws Throwable {
    PosixParser posixParser0 = new PosixParser();
    Options options0 = new Options();
    Options options1 = options0.addOption(""W"", ""W"", true, ""W"");
    String[] stringArray0 = new String[4];
    stringArray0[0] = ""*','dA"";
    stringArray0[1] = ""-W@L-Nr"";
    stringArray0[2] = ""-W@L-Nr"";
    stringArray0[3] = ""*','dA"";
    String[] stringArray1 = posixParser0.flatten(options1, stringArray0, false);
    String[] stringArray2 = posixParser0.flatten(options0, stringArray1, false);
    assertEquals(6, stringArray1.length);
}",0,
project,0,test088,"public void test088() throws Throwable {
    PosixParser posixParser0 = new PosixParser();
    Options options0 = new Options();
    Options options1 = options0.addOption(""W"", ""W"", true, ""W"");
    String[] stringArray0 = new String[4];
    stringArray0[0] = ""*','dA"";
    stringArray0[1] = ""-W@L-Nr"";
    stringArray0[2] = ""-W@L-Nr"";
    stringArray0[3] = ""*','dA"";
    String[] stringArray1 = posixParser0.flatten(options1, stringArray0, false);
    String[] stringArray2 = posixParser0.flatten(options0, stringArray1, false);
    assertEquals(6, stringArray2.length);
}",0,
project,0,test099,"public void test099() throws Throwable {
    Options options0 = new Options();
    PosixParser posixParser0 = new PosixParser();
    String[] stringArray0 = new String[1];
    stringArray0[0] = ""-J"";
    String[] stringArray1 = posixParser0.flatten(options0, stringArray0, true);
    assertEquals(0, stringArray1.length);
}",0,
