project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    Compiler compiler0 = new Compiler();
    AmbiguateProperties ambiguateProperties0 = new AmbiguateProperties(compiler0, (char[]) null);
    ScriptOrFnNode scriptOrFnNode0 = (ScriptOrFnNode) compiler0.parseTestCode(""com.google.javascript.jscomp.AmbiguateProperties$PropertyGraph"");
    ambiguateProperties0.process(scriptOrFnNode0, scriptOrFnNode0);
    assertEquals(0, scriptOrFnNode0.getParamCount());
}",0,
project,0,test022,"public void test022() throws Throwable {
    Compiler compiler0 = new Compiler();
    AmbiguateProperties ambiguateProperties0 = new AmbiguateProperties(compiler0, (char[]) null);
    Node node0 = compiler0.parseTestCode(""com.google.javascript.jscomp.AmbiguateProperties$PropertyGraph"");
    Node node1 = new Node(7);
    ambiguateProperties0.process(node1, node0);
    ambiguateProperties0.process(node1, node0);
    assertEquals(31, Node.INCRDECR_PROP);
}",0,
project,0,test033,"public void test033() throws Throwable {
    Compiler compiler0 = new Compiler();
    AmbiguateProperties ambiguateProperties0 = new AmbiguateProperties(compiler0, (char[]) null);
    Node node0 = Node.newString(""msg.dstut.sign.no.init"", 64, 64);
    Node node1 = new Node(64, node0);
    // Undeclared exception!
    try {
        ambiguateProperties0.process(node1, node1);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
    }
}",0,
project,0,test044,"public void test044() throws Throwable {
    Compiler compiler0 = new Compiler();
    Node node0 = new Node(64, 64, 64);
    AmbiguateProperties ambiguateProperties0 = new AmbiguateProperties(compiler0, (char[]) null);
    ambiguateProperties0.process(node0, node0);
    assertFalse(node0.isUnscopedQualifiedName());
}",0,assertFalse(node0.isUnscopedQualifiedName())
project,0,test055,"public void test055() throws Throwable {
    Compiler compiler0 = new Compiler();
    AmbiguateProperties ambiguateProperties0 = new AmbiguateProperties(compiler0, (char[]) null);
    Node node0 = compiler0.parseTestCode(""msg.destuct.assign.no.init"");
    Node node1 = new Node(64, node0);
    // Undeclared exception!
    try {
        ambiguateProperties0.process(node1, node1);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
    }
}",0,
project,0,test066,"public void test066() throws Throwable {
    Compiler compiler0 = new Compiler();
    AmbiguateProperties ambiguateProperties0 = new AmbiguateProperties(compiler0, (char[]) null);
    Node node0 = Node.newNumber((double) 35, 35, 35);
    Node node1 = new Node(35, node0, node0, node0, node0, 22, 20);
    ambiguateProperties0.process(node1, node1);
    assertEquals(37, Node.SYNTHETIC_BLOCK_PROP);
}",0,
project,0,test077,"public void test077() throws Throwable {
    Compiler compiler0 = new Compiler();
    Node node0 = Node.newString(""JSAbstractCompilerAbiguateProerties$JSTypeBitSet"");
    Node node1 = new Node(64, 11, 48);
    node1.addChildrenToBack(node0);
    AmbiguateProperties ambiguateProperties0 = new AmbiguateProperties(compiler0, (char[]) null);
    // Undeclared exception!
    try {
        ambiguateProperties0.process(node0, node1);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
    }
}",0,
project,0,test088,"public void test088() throws Throwable {
    Compiler compiler0 = new Compiler();
    AmbiguateProperties ambiguateProperties0 = new AmbiguateProperties(compiler0, (char[]) null);
    Node node0 = Node.newNumber((double) 64, 64, 64);
    Node node1 = new Node(64, node0, node0, node0, node0, 47, 2);
    // Undeclared exception!
    try {
        ambiguateProperties0.process(node0, node1);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
    }
}",0,
project,0,test099,"public void test099() throws Throwable {
    Compiler compiler0 = new Compiler();
    Node node0 = Node.newString("">{wrj, Rp18J4%)^q"");
    Node node1 = new Node(64, 11, 48);
    node0.setQuotedString();
    node1.addChildrenToBack(node0);
    AmbiguateProperties ambiguateProperties0 = new AmbiguateProperties(compiler0, (char[]) null);
    // Undeclared exception!
    try {
        ambiguateProperties0.process(node0, node1);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
    }
}",0,
project,0,test1010,"public void test1010() throws Throwable {
    Compiler compiler0 = new Compiler();
    AmbiguateProperties ambiguateProperties0 = new AmbiguateProperties(compiler0, (char[]) null);
    Node node0 = Node.newNumber((double) 35, 35, 35);
    Node node1 = Node.newString(""AmbiguateProperties1"", (-535), 0);
    Node node2 = new Node(35, node0, node0, node0, node1, 22, 20);
    ambiguateProperties0.process(node2, node2);
    assertEquals(20, Node.FINALLY_PROP);
}",0,
