project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.WARNING;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    NodeTraversal nodeTraversal0 = new NodeTraversal(compiler0, checkGlobalThis0);
    Node node0 = new Node(105, 105, 105);
    JSDocInfo jSDocInfo0 = new JSDocInfo();
    node0.setJSDocInfo(jSDocInfo0);
    boolean boolean0 = checkGlobalThis0.shouldTraverse(nodeTraversal0, node0, node0);
    assertFalse(boolean0);
}",0,
project,0,test011,"public void test011() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.WARNING;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    NodeTraversal nodeTraversal0 = new NodeTraversal(compiler0, checkGlobalThis0);
    Node node0 = new Node(105, 105, 105);
    Node node1 = new Node(125, node0);
    boolean boolean0 = checkGlobalThis0.shouldTraverse(nodeTraversal0, node0, node1);
    assertTrue(boolean0);
}",0,
project,0,test022,"public void test022() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.WARNING;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    NodeTraversal nodeTraversal0 = new NodeTraversal(compiler0, checkGlobalThis0);
    Node node0 = new Node(105, 105, 105);
    Node node1 = new Node(132, node0);
    boolean boolean0 = checkGlobalThis0.shouldTraverse(nodeTraversal0, node0, node1);
    assertTrue(boolean0);
}",0,
project,0,test033,"public void test033() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.OFF;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    Node node0 = new Node(105, 105, 105);
    Node node1 = new Node(38, node0);
    Node node2 = new Node(105, node1);
    NodeTraversal nodeTraversal0 = new NodeTraversal(compiler0, checkGlobalThis0);
    boolean boolean0 = checkGlobalThis0.shouldTraverse(nodeTraversal0, node0, node1);
    assertTrue(boolean0);
}",0,
project,0,test044,"public void test044() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.OFF;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    Node node0 = new Node(105, 105, 105);
    Node node1 = new Node(86, node0);
    NodeTraversal nodeTraversal0 = new NodeTraversal(compiler0, checkGlobalThis0);
    boolean boolean0 = checkGlobalThis0.shouldTraverse(nodeTraversal0, node0, node1);
    assertTrue(boolean0);
}",0,
project,0,test055,"public void test055() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.OFF;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    NodeTraversal nodeTraversal0 = new NodeTraversal(compiler0, checkGlobalThis0);
    Node node0 = Node.newNumber((double) 304, 304, 304);
    boolean boolean0 = checkGlobalThis0.shouldTraverse(nodeTraversal0, node0, (Node) null);
    assertTrue(boolean0);
}",0,
project,0,test066,"public void test066() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.ERROR;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    NodeTraversal nodeTraversal0 = new NodeTraversal(compiler0, checkGlobalThis0);
    Node node0 = new Node(33);
    Node node1 = new Node(86, node0);
    boolean boolean0 = checkGlobalThis0.shouldTraverse(nodeTraversal0, node0, node1);
    boolean boolean1 = checkGlobalThis0.shouldTraverse(nodeTraversal0, node0, node1);
    assertTrue(boolean1 == boolean0);
}",0,
project,0,test077,"public void test077() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.ERROR;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    NodeTraversal nodeTraversal0 = new NodeTraversal(compiler0, checkGlobalThis0);
    Node node0 = compiler0.parseTestCode(""iJn6<d8^sb"");
    Node node1 = new Node(86, node0, node0, node0, node0, 39, 27);
    boolean boolean0 = checkGlobalThis0.shouldTraverse(nodeTraversal0, node1, node1);
    assertTrue(boolean0);
}",0,
project,0,test088,"public void test088() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.WARNING;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    NodeTraversal nodeTraversal0 = new NodeTraversal(compiler0, checkGlobalThis0);
    Node node0 = new Node(33, 33, 33);
    Node node1 = Node.newString(""H$)/^\"".*5M'Hr;C"", 2, 29);
    node0.addChildrenToBack(node1);
    Node node2 = new Node(86, node0);
    boolean boolean0 = checkGlobalThis0.shouldTraverse(nodeTraversal0, node2, node2);
    assertTrue(boolean0);
}",0,
project,0,test099,"public void test099() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.ERROR;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    NodeTraversal nodeTraversal0 = new NodeTraversal(compiler0, checkGlobalThis0);
    Node node0 = new Node(35);
    Node node1 = new Node(42, node0, node0, node0, node0, 48, 15);
    // Undeclared exception!
    try {
        checkGlobalThis0.visit(nodeTraversal0, node1, node0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.javascript.jscomp.Compiler"", e);
    }
}",0,
