project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test0000,"public void test0000() throws Throwable {
    Node node0 = IR.empty();
    // Undeclared exception!
    try {
        IR.forNode(node0, node0, node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test0011,"public void test0011() throws Throwable {
    Node node0 = IR.block();
    // Undeclared exception!
    try {
        IR.doNode(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test0022,"public void test0022() throws Throwable {
    Node node0 = new Node(114);
    // Undeclared exception!
    try {
        IR.comma(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test0033,"public void test0033() throws Throwable {
    Node node0 = IR.trueNode();
    // Undeclared exception!
    try {
        IR.catchNode(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test0044,"public void test0044() throws Throwable {
    Node node0 = IR.breakNode();
    // Undeclared exception!
    try {
        IR.tryCatchFinally(node0, node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test0055,"public void test0055() throws Throwable {
    Node node0 = new Node(65);
    // Undeclared exception!
    try {
        IR.returnNode(node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test0066,"public void test0066() throws Throwable {
    Node[] nodeArray0 = new Node[0];
    Node node0 = IR.paramList(nodeArray0);
    // Undeclared exception!
    try {
        IR.switchNode(node0, nodeArray0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test0077,"public void test0077() throws Throwable {
    Node node0 = IR.falseNode();
    // Undeclared exception!
    try {
        IR.breakNode(node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test0088,"public void test0088() throws Throwable {
    Node node0 = new Node(55);
    // Undeclared exception!
    try {
        IR.eq(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test0099,"public void test0099() throws Throwable {
    Node node0 = IR.nullNode();
    // Undeclared exception!
    try {
        IR.assign(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test01010,"public void test01010() throws Throwable {
    Node node0 = IR.thisNode();
    // Undeclared exception!
    try {
        IR.ifNode(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test01111,"public void test01111() throws Throwable {
    Node node0 = new Node(61);
    // Undeclared exception!
    try {
        IR.exprResult(node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test01212,"public void test01212() throws Throwable {
    Node node0 = IR.falseNode();
    Node node1 = IR.and(node0, node0);
    Node node2 = IR.exprResult(node1);
    assertEquals(130, node2.getType());
}",0,"assertEquals(0, node2.getType())"
project,0,test01213,"public void test01213() throws Throwable {
    Node node0 = IR.falseNode();
    Node node1 = IR.and(node0, node0);
    Node node2 = IR.exprResult(node1);
    assertEquals(43, node0.getType());
}",0,"assertEquals(1, node0.getType())"
project,0,test01214,"public void test01214() throws Throwable {
    Node node0 = IR.falseNode();
    Node node1 = IR.and(node0, node0);
    Node node2 = IR.exprResult(node1);
    assertTrue(node1.isAnd());
}",0,assertFalse(node1.isAnd())
project,0,test01315,"public void test01315() throws Throwable {
    Node node0 = IR.falseNode();
    // Undeclared exception!
    try {
        IR.regexp(node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test01416,"public void test01416() throws Throwable {
    Node node0 = new Node(60);
    // Undeclared exception!
    try {
        IR.add(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",1,
project,0,test01517,"public void test01517() throws Throwable {
    Node node0 = IR.returnNode();
    // Undeclared exception!
    try {
        IR.label(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test01618,"public void test01618() throws Throwable {
    Node node0 = IR.breakNode();
    // Undeclared exception!
    try {
        IR.tryFinally(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",1,
project,0,test01719,"public void test01719() throws Throwable {
    Node node0 = new Node(10);
    Node node1 = IR.not(node0);
    assertTrue(node1.isNot());
}",0,assertTrue(node1.isNot())
project,0,test01820,"public void test01820() throws Throwable {
    Node node0 = new Node(23);
    // Undeclared exception!
    try {
        IR.ifNode(node0, node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",1,
project,0,test01921,"public void test01921() throws Throwable {
    Node node0 = IR.nullNode();
    Node node1 = IR.getelem(node0, node0);
    assertEquals(35, node1.getType());
}",0,"assertEquals(0, node1.getType())"
project,0,test01922,"public void test01922() throws Throwable {
    Node node0 = IR.nullNode();
    Node node1 = IR.getelem(node0, node0);
    Node node2 = IR.assign(node1, node1);
    assertTrue(node0.isNull());
}",0,assertTrue(node0.isNull())
project,0,test01923,"public void test01923() throws Throwable {
    Node node0 = IR.nullNode();
    Node node1 = IR.getelem(node0, node0);
    Node node2 = IR.assign(node1, node1);
    assertEquals(86, node2.getType());
}",0,"assertEquals(0, node2.getType())"
project,0,test02024,"public void test02024() throws Throwable {
    Node node0 = IR.nullNode();
    // Undeclared exception!
    try {
        IR.function(node0, node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test02125,"public void test02125() throws Throwable {
    Node node0 = IR.continueNode();
    // Undeclared exception!
    try {
        IR.caseNode(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test02226,"public void test02226() throws Throwable {
    Node node0 = new Node(110);
    // Undeclared exception!
    try {
        IR.or(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test02327,"public void test02327() throws Throwable {
    Node node0 = IR.name("""");
    node0.addChildToBack(node0);
    // Undeclared exception!
    try {
        IR.var(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test02428,"public void test02428() throws Throwable {
    Node node0 = IR.thisNode();
    // Undeclared exception!
    try {
        IR.block(node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test02529,"public void test02529() throws Throwable {
    Node node0 = new Node(13);
    Node node1 = IR.sub(node0, node0);
    assertEquals(22, node1.getType());
}",0,"assertEquals(0, node1.getType())"
project,0,test02630,"public void test02630() throws Throwable {
    Node node0 = IR.falseNode();
    Node node1 = IR.pos(node0);
    // Undeclared exception!
    try {
        IR.forIn(node1, node1, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test02731,"public void test02731() throws Throwable {
    Node node0 = IR.trueNode();
    // Undeclared exception!
    try {
        IR.tryCatch(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test02832,"public void test02832() throws Throwable {
    Node node0 = IR.falseNode();
    Node node1 = IR.neg(node0);
    assertTrue(node0.isFalse());
}",0,assertTrue(node0.isFalse())
project,0,test02833,"public void test02833() throws Throwable {
    Node node0 = IR.falseNode();
    Node node1 = IR.neg(node0);
    assertEquals(29, node1.getType());
}",0,"assertEquals(0, node1.getType())"
project,0,test02934,"public void test02934() throws Throwable {
    Node node0 = IR.trueNode();
    Node node1 = IR.hook(node0, node0, node0);
    // Undeclared exception!
    try {
        IR.forNode(node0, node0, node1, node1);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",0,
project,0,test03035,"public void test03035() throws Throwable {
    Node node0 = IR.stringKey("""");
    // Undeclared exception!
    try {
        IR.propdef(node0, node0);
        fail(""Expecting exception: IllegalStateException"");
    } catch (IllegalStateException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.common.base.Preconditions"", e);
    }
}",1,
