project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    EmptyExpression emptyExpression0 = new EmptyExpression(16);
    astRoot0.addChildrenToFront(emptyExpression0);
    Node node0 = IRFactory.transformTree(astRoot0, ""com. oogle.javascript.rhino.testing.EmptyScope"", (Config) null, (ErrorReporter) null);
    assertEquals(132, node0.getType());
}",0,"assertEquals(0, node0.getType())"
project,0,test001,"public void test001() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    EmptyExpression emptyExpression0 = new EmptyExpression(16);
    astRoot0.addChildrenToFront(emptyExpression0);
    Node node0 = IRFactory.transformTree(astRoot0, ""com. oogle.javascript.rhino.testing.EmptyScope"", (Config) null, (ErrorReporter) null);
    assertTrue(node0.hasOneChild());
}",0,
project,0,test012,"public void test012() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    ObjectProperty objectProperty0 = new ObjectProperty();
    astRoot0.addChildToBack(objectProperty0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, """", (Config) null, errorCollector0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test023,"public void test023() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    DoLoop doLoop0 = new DoLoop(93, 54);
    astRoot0.addChildToBack(doLoop0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, ""`n2i/"", (Config) null, errorCollector0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test034,"public void test034() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    ElementGet elementGet0 = new ElementGet();
    astRoot0.addChildToBack(elementGet0);
    TreeSet<String> treeSet0 = new TreeSet<String>();
    Config config0 = new Config(treeSet0, treeSet0, true, true);
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, """", config0, (ErrorReporter) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test045,"public void test045() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    Block block0 = new Block();
    astRoot0.addChildToBack(block0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    Node node0 = IRFactory.transformTree(astRoot0, ""J;+,(%0{"", (Config) null, errorCollector0);
    assertEquals(132, node0.getType());
}",0,"assertEquals(1, node0.getType())"
project,0,test046,"public void test046() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    Block block0 = new Block();
    astRoot0.addChildToBack(block0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    Node node0 = IRFactory.transformTree(astRoot0, ""J;+,(%0{"", (Config) null, errorCollector0);
    assertTrue(node0.hasChildren());
}",0,assertFalse(node0.hasChildren())
project,0,test057,"public void test057() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    WhileLoop whileLoop0 = new WhileLoop(4);
    astRoot0.addChildToBack(whileLoop0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    Locale locale0 = Locale.forLanguageTag(""Tfl"");
    Set<String> set0 = locale0.getUnicodeLocaleKeys();
    Config config0 = new Config(set0, set0, false, false);
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, ""[{Wsas"", config0, errorCollector0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test068,"public void test068() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    NumberLiteral numberLiteral0 = new NumberLiteral(1, 2);
    astRoot0.addChildrenToFront(numberLiteral0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    Node node0 = IRFactory.transformTree(astRoot0, ""N}jcm=nzW/+5D"", (Config) null, errorCollector0);
    assertEquals(132, node0.getType());
}",0,"assertEquals(1, node0.getType())"
project,0,test069,"public void test069() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    NumberLiteral numberLiteral0 = new NumberLiteral(1, 2);
    astRoot0.addChildrenToFront(numberLiteral0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    Node node0 = IRFactory.transformTree(astRoot0, ""N}jcm=nzW/+5D"", (Config) null, errorCollector0);
    assertTrue(node0.hasOneChild());
}",0,assertFalse(node0.hasOneChild())
project,0,test0710,"public void test0710() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    ParenthesizedExpression parenthesizedExpression0 = new ParenthesizedExpression(1);
    astRoot0.addChildrenToFront(parenthesizedExpression0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, ""com.google.javascript.jscomp.mozilla.rhino.Function"", (Config) null, errorCollector0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test0811,"public void test0811() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    ThrowStatement throwStatement0 = new ThrowStatement(0, astRoot0);
    astRoot0.addChildrenToFront(throwStatement0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, (String) null, (Config) null, errorCollector0);
        fail(""Expecting exception: StackOverflowError"");
    } catch (StackOverflowError e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test0912,"public void test0912() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    NewExpression newExpression0 = new NewExpression(8);
    astRoot0.addChildrenToFront(newExpression0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, """", (Config) null, errorCollector0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test1013,"public void test1013() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    StringLiteral stringLiteral0 = new StringLiteral();
    astRoot0.addChildrenToFront(stringLiteral0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, "";1x.yKpWa1vFubqN9Of"", (Config) null, errorCollector0);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // StringNode: str is null
        //
        verifyException(""com.google.javascript.rhino.Node$StringNode"", e);
    }
}",0,
project,0,test1114,"public void test1114() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    Scope scope0 = new Scope(2);
    astRoot0.addChildToBack(scope0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    Node node0 = IRFactory.transformTree(astRoot0, ""Catch clauses are not supported"", (Config) null, errorCollector0);
    assertEquals(132, node0.getType());
}",0,"assertEquals(1, node0.getType())"
project,0,test1115,"public void test1115() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    Scope scope0 = new Scope(2);
    astRoot0.addChildToBack(scope0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    Node node0 = IRFactory.transformTree(astRoot0, ""Catch clauses are not supported"", (Config) null, errorCollector0);
    assertTrue(node0.hasChildren());
}",0,
project,0,test1216,"public void test1216() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    SwitchCase switchCase0 = new SwitchCase();
    ExpressionStatement expressionStatement0 = new ExpressionStatement(switchCase0);
    astRoot0.addChildToBack(expressionStatement0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    Node node0 = IRFactory.transformTree(astRoot0, ""com.google.javascript.jscomp.parsing.IRFactory"", (Config) null, errorCollector0);
    assertEquals(132, node0.getType());
}",0,"assertEquals(0, node0.getType())"
project,0,test1317,"public void test1317() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    PropertyGet propertyGet0 = new PropertyGet(4, 151);
    astRoot0.addChildrenToFront(propertyGet0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, ""com.google.javascript.jscomp.parsing.IRFactory"", (Config) null, errorCollector0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test1418,"public void test1418() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    WithStatement withStatement0 = new WithStatement();
    astRoot0.addChildToBack(withStatement0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, ""ea"", (Config) null, errorCollector0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test1519,"public void test1519() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    ForInLoop forInLoop0 = new ForInLoop(1, 9);
    astRoot0.addChildToBack(forInLoop0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, ""0Oy`%d_"", (Config) null, errorCollector0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test1620,"public void test1620() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    ForLoop forLoop0 = new ForLoop();
    astRoot0.addChildrenToFront(forLoop0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, """", (Config) null, errorCollector0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test1721,"public void test1721() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    ConditionalExpression conditionalExpression0 = new ConditionalExpression(1404, 214);
    astRoot0.addChildrenToFront(conditionalExpression0);
    ErrorCollector errorCollector0 = new ErrorCollector();
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, ""com.google.javascript.jscomp.parsing.IRFactory$TransformDispatcher"", (Config) null, errorCollector0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test1822,"public void test1822() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    ErrorCollector errorCollector0 = new ErrorCollector();
    XmlPropRef xmlPropRef0 = new XmlPropRef();
    astRoot0.addChildrenToFront(xmlPropRef0);
    // Undeclared exception!
    try {
        IRFactory.transformTree(astRoot0, ""5"", (Config) null, errorCollector0);
        fail(""Expecting exception: UnsupportedOperationException"");
    } catch (UnsupportedOperationException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.javascript.jscomp.mozilla.rhino.ast.ErrorCollector"", e);
    }
}",0,
project,0,test1923,"public void test1923() throws Throwable {
    AstRoot astRoot0 = new AstRoot();
    ErrorCollector errorCollector0 = new ErrorCollector();
    RegExpLiteral regExpLiteral0 = new RegExpLiteral(8);
    InfixExpression infixExpression0 = new InfixExpression(21, regExpLiteral0, regExpLiteral0, 1);
    astRoot0.addChildToBack(infixExpression0);
    regExpLiteral0.setValue(""Unsupported sytax;: "");
    Node node0 = IRFactory.transformTree(astRoot0, ""Unsupported sytax;: "", (Config) null, errorCollector0);
    assertEquals(132, node0.getType());
}",0,"assertEquals(0, node0.getType())"
