project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    Document document0 = new Document(""S2#%*>BG"");
    document0.appendText(""M[#[["");
    document0.appendText(""M[#[["");
    Document document1 = document0.normalise();
    assertEquals(""#document"", document1.nodeName());
}",0,assertNotNull(document1.nodeName())
project,0,test0611,"public void test0611() throws Throwable {
    Document document0 = new Document(""7;~eiyx`f"");
    document0.normalise();
    Element element0 = document0.text("""");
    assertEquals(""#document"", element0.nodeName());
}",0,assertNotNull(element0.nodeName())
project,0,test0918,"public void test0918() throws Throwable {
    Document document0 = new Document("""");
    String string0 = document0.outerHtml();
    assertEquals("""", string0);
}",0,assertNotNull(string0)
project,0,test1019,"public void test1019() throws Throwable {
    Document document0 = new Document(""Kopf"");
    Document document1 = document0.normalise();
    document1.head();
    assertEquals(""#document"", document1.nodeName());
}",0,assertNotNull(document1.nodeName())
project,0,test1120,"public void test1120() throws Throwable {
    Document document0 = Document.createShell(""CFrcn=wm`]6U?7!oF~J"");
    Element element0 = document0.createElement(""head"");
    assertEquals(""head"", element0.nodeName());
}",0,assertNotNull(element0.nodeName())
project,0,test1221,"public void test1221() throws Throwable {
    Document document0 = new Document(""Kopf"");
    Document document1 = document0.normalise();
    Element element0 = document1.body();
    assertEquals(""#document"", document1.nodeName());
}",0,assertNotNull(document1.nodeName())
project,0,test1222,"public void test1222() throws Throwable {
    Document document0 = new Document(""Kopf"");
    Document document1 = document0.normalise();
    Element element0 = document1.body();
    assertNotNull(element0);
}",0,
project,0,test1423,"public void test1423() throws Throwable {
    Document document0 = new Document("""");
    // Undeclared exception!
    try {
        document0.title("""");
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.jsoup.nodes.Document"", e);
    }
}",0,
project,0,test1524,"public void test1524() throws Throwable {
    Document document0 = Document.createShell(""tBz6;U"");
    // Undeclared exception!
    try {
        document0.title((String) null);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Object must not be null
        //
        verifyException(""org.jsoup.helper.Validate"", e);
    }
}",0,
project,0,test1725,"public void test1725() throws Throwable {
    Document document0 = new Document(""harr"");
    // Undeclared exception!
    try {
        document0.text(""harr"");
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.jsoup.nodes.Document"", e);
    }
}",0,
project,0,test1926,"public void test1926() throws Throwable {
    Document document0 = new Document("""");
    document0.childNodes = null;
    // Undeclared exception!
    try {
        document0.normalise();
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
