project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test00,"public void test00() throws Throwable {
    Object object0 = new Object();
    JXPathContextReferenceImpl jXPathContextReferenceImpl0 = (JXPathContextReferenceImpl) JXPathContext.newContext(object0);
    InitialContext initialContext0 = (InitialContext) jXPathContextReferenceImpl0.getAbsoluteRootContext();
    EvalContext[] evalContextArray0 = new EvalContext[8];
    UnionContext unionContext0 = new UnionContext(initialContext0, evalContextArray0);
    assertEquals(0, unionContext0.getPosition());
}",0,"assertEquals(0, unionContext0.getPosition())"
project,0,test11,"public void test11() throws Throwable {
    BasicNodeSet basicNodeSet0 = new BasicNodeSet();
    JXPathContextReferenceImpl jXPathContextReferenceImpl0 = (JXPathContextReferenceImpl) JXPathContext.newContext((Object) basicNodeSet0);
    InitialContext initialContext0 = (InitialContext) jXPathContextReferenceImpl0.getAbsoluteRootContext();
    EvalContext[] evalContextArray0 = new EvalContext[3];
    evalContextArray0[0] = (EvalContext) initialContext0;
    evalContextArray0[1] = (EvalContext) initialContext0;
    evalContextArray0[2] = (EvalContext) initialContext0;
    UnionContext unionContext0 = new UnionContext(initialContext0, evalContextArray0);
    boolean boolean0 = unionContext0.setPosition(1);
    assertEquals(2, initialContext0.getPosition());
}",0,"assertEquals(0, initialContext0.getPosition())"
project,0,test12,"public void test12() throws Throwable {
    BasicNodeSet basicNodeSet0 = new BasicNodeSet();
    JXPathContextReferenceImpl jXPathContextReferenceImpl0 = (JXPathContextReferenceImpl) JXPathContext.newContext((Object) basicNodeSet0);
    InitialContext initialContext0 = (InitialContext) jXPathContextReferenceImpl0.getAbsoluteRootContext();
    EvalContext[] evalContextArray0 = new EvalContext[3];
    evalContextArray0[0] = (EvalContext) initialContext0;
    evalContextArray0[1] = (EvalContext) initialContext0;
    evalContextArray0[2] = (EvalContext) initialContext0;
    UnionContext unionContext0 = new UnionContext(initialContext0, evalContextArray0);
    boolean boolean0 = unionContext0.setPosition(1);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test23,"public void test23() throws Throwable {
    JXPathContextReferenceImpl jXPathContextReferenceImpl0 = (JXPathContextReferenceImpl) JXPathContext.newContext((Object) ""org.apache.commons.jxpath.ri.axes.UnionContext"");
    QName qName0 = new QName("""");
    Locale locale0 = Locale.JAPAN;
    BeanPointer beanPointer0 = (BeanPointer) NodePointer.newNodePointer(qName0, jXPathContextReferenceImpl0, locale0);
    RootContext rootContext0 = new RootContext(jXPathContextReferenceImpl0, beanPointer0);
    EvalContext[] evalContextArray0 = new EvalContext[3];
    evalContextArray0[0] = (EvalContext) rootContext0;
    UnionContext unionContext0 = new UnionContext(rootContext0, evalContextArray0);
    // Undeclared exception!
    try {
        unionContext0.setPosition(Integer.MIN_VALUE);
        fail(""Expecting exception: UnsupportedOperationException"");
    } catch (UnsupportedOperationException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.jxpath.ri.axes.RootContext"", e);
    }
}",0,
project,0,test34,"public void test34() throws Throwable {
    BasicNodeSet basicNodeSet0 = new BasicNodeSet();
    NodeSetContext nodeSetContext0 = new NodeSetContext((EvalContext) null, basicNodeSet0);
    QName qName0 = new QName("",,]8t%B"");
    NodeNameTest nodeNameTest0 = new NodeNameTest(qName0, ""nZBT@;_AfX|"");
    DescendantContext descendantContext0 = new DescendantContext(nodeSetContext0, true, nodeNameTest0);
    PrecedingOrFollowingContext precedingOrFollowingContext0 = new PrecedingOrFollowingContext(descendantContext0, nodeNameTest0, true);
    EvalContext[] evalContextArray0 = new EvalContext[2];
    evalContextArray0[0] = (EvalContext) precedingOrFollowingContext0;
    evalContextArray0[1] = (EvalContext) precedingOrFollowingContext0;
    UnionContext unionContext0 = new UnionContext(precedingOrFollowingContext0, evalContextArray0);
    // Undeclared exception!
    try {
        unionContext0.setPosition((-1482));
        fail(""Expecting exception: IndexOutOfBoundsException"");
    } catch (IndexOutOfBoundsException e) {
        //
        // Index: 0, Size: 0
        //
        verifyException(""java.util.ArrayList"", e);
    }
}",0,
project,0,test45,"public void test45() throws Throwable {
    NodeTypeTest nodeTypeTest0 = new NodeTypeTest((-874));
    AttributeContext attributeContext0 = new AttributeContext((EvalContext) null, nodeTypeTest0);
    SelfContext selfContext0 = new SelfContext(attributeContext0, nodeTypeTest0);
    AncestorContext ancestorContext0 = new AncestorContext(selfContext0, true, nodeTypeTest0);
    UnionContext unionContext0 = new UnionContext(ancestorContext0, (EvalContext[]) null);
    // Undeclared exception!
    try {
        unionContext0.getDocumentOrder();
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.jxpath.ri.axes.UnionContext"", e);
    }
}",0,
project,0,test56,"public void test56() throws Throwable {
    Object object0 = new Object();
    JXPathContextReferenceImpl jXPathContextReferenceImpl0 = (JXPathContextReferenceImpl) JXPathContext.newContext(object0);
    InitialContext initialContext0 = (InitialContext) jXPathContextReferenceImpl0.getAbsoluteRootContext();
    InitialContext initialContext1 = new InitialContext(initialContext0);
    EvalContext[] evalContextArray0 = new EvalContext[8];
    evalContextArray0[0] = (EvalContext) initialContext1;
    evalContextArray0[1] = (EvalContext) initialContext0;
    UnionContext unionContext0 = new UnionContext(initialContext1, evalContextArray0);
    // Undeclared exception!
    try {
        unionContext0.setPosition(58);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.jxpath.ri.axes.UnionContext"", e);
    }
}",0,
project,0,test67,"public void test67() throws Throwable {
    Object object0 = new Object();
    JXPathContextReferenceImpl jXPathContextReferenceImpl0 = (JXPathContextReferenceImpl) JXPathContext.newContext(object0);
    InitialContext initialContext0 = (InitialContext) jXPathContextReferenceImpl0.getAbsoluteRootContext();
    EvalContext[] evalContextArray0 = new EvalContext[8];
    evalContextArray0[0] = (EvalContext) initialContext0;
    evalContextArray0[1] = (EvalContext) initialContext0;
    evalContextArray0[2] = (EvalContext) initialContext0;
    evalContextArray0[3] = (EvalContext) initialContext0;
    evalContextArray0[4] = (EvalContext) initialContext0;
    evalContextArray0[5] = (EvalContext) initialContext0;
    evalContextArray0[6] = (EvalContext) initialContext0;
    evalContextArray0[7] = (EvalContext) initialContext0;
    UnionContext unionContext0 = new UnionContext(initialContext0, evalContextArray0);
    unionContext0.setPosition(58);
    unionContext0.setPosition((-3304));
    assertEquals((-3304), unionContext0.getPosition());
}",0,"assertEquals(0, unionContext0.getPosition())"
project,0,test78,"public void test78() throws Throwable {
    Object object0 = new Object();
    JXPathContextReferenceImpl jXPathContextReferenceImpl0 = (JXPathContextReferenceImpl) JXPathContext.newContext(object0);
    InitialContext initialContext0 = (InitialContext) jXPathContextReferenceImpl0.getAbsoluteRootContext();
    InitialContext initialContext1 = new InitialContext(initialContext0);
    EvalContext[] evalContextArray0 = new EvalContext[2];
    evalContextArray0[0] = (EvalContext) initialContext0;
    evalContextArray0[1] = (EvalContext) initialContext1;
    UnionContext unionContext0 = new UnionContext(initialContext1, evalContextArray0);
    boolean boolean0 = unionContext0.hasNext();
    assertEquals(2, initialContext1.getPosition());
}",0,
project,0,test79,"public void test79() throws Throwable {
    Object object0 = new Object();
    JXPathContextReferenceImpl jXPathContextReferenceImpl0 = (JXPathContextReferenceImpl) JXPathContext.newContext(object0);
    InitialContext initialContext0 = (InitialContext) jXPathContextReferenceImpl0.getAbsoluteRootContext();
    InitialContext initialContext1 = new InitialContext(initialContext0);
    EvalContext[] evalContextArray0 = new EvalContext[2];
    evalContextArray0[0] = (EvalContext) initialContext0;
    evalContextArray0[1] = (EvalContext) initialContext1;
    UnionContext unionContext0 = new UnionContext(initialContext1, evalContextArray0);
    boolean boolean0 = unionContext0.hasNext();
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
