project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test020,"public void test020() throws Throwable {
    int[] intArray0 = new int[2];
    intArray0[0] = 2097;
    intArray0[1] = 1383;
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
    MultidimensionalCounter.Iterator multidimensionalCounter_Iterator0 = multidimensionalCounter0.iterator();
    multidimensionalCounter0.getSize();
    multidimensionalCounter0.getSizes();
    MultidimensionalCounter.Iterator multidimensionalCounter_Iterator1 = multidimensionalCounter0.iterator();
    multidimensionalCounter0.spliterator();
    int[] intArray1 = multidimensionalCounter_Iterator1.getCounts();
    int int0 = new Integer(1383);
    multidimensionalCounter_Iterator0.hasNext();
    try {
        multidimensionalCounter0.getCount(intArray1);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
        //
        // -1 out of [0, 1,382] range
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",0,
project,0,test031,"public void test031() throws Throwable {
    int[] intArray0 = new int[2];
    intArray0[0] = (-672);
    intArray0[1] = (-672);
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
    multidimensionalCounter0.spliterator();
    MultidimensionalCounter.Iterator multidimensionalCounter_Iterator0 = multidimensionalCounter0.iterator();
    int[] intArray1 = multidimensionalCounter_Iterator0.getCounts();
    multidimensionalCounter_Iterator0.hasNext();
    try {
        multidimensionalCounter0.getCount(intArray1);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
        //
        // 0 out of [0, -673] range
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",0,
project,0,test053,"public void test053() throws Throwable {
    int[] intArray0 = new int[6];
    intArray0[1] = (-529);
    intArray0[1] = 12;
    intArray0[2] = 787;
    intArray0[3] = 0;
    intArray0[4] = (-291);
    int int0 = 0;
    intArray0[5] = (-291);
    int[] intArray1 = null;
    int[] intArray2 = new int[4];
    intArray2[0] = (-291);
    intArray2[1] = (-291);
    intArray2[2] = 787;
    intArray2[3] = 787;
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray2);
    // Undeclared exception!
    try {
        multidimensionalCounter0.getCount((int[]) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",0,
project,0,test074,"public void test074() throws Throwable {
    int[] intArray0 = new int[1];
    int int0 = 1860;
    intArray0[0] = 1860;
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
    Consumer<Object> consumer0 = (Consumer<Object>) mock(Consumer.class, new ViolatedAssumptionAnswer());
    multidimensionalCounter0.forEach(consumer0);
    multidimensionalCounter0.spliterator();
    multidimensionalCounter0.spliterator();
    Consumer<Integer> consumer1 = (Consumer<Integer>) mock(Consumer.class, new ViolatedAssumptionAnswer());
    multidimensionalCounter0.toString();
    multidimensionalCounter0.forEach(consumer1);
    // Undeclared exception!
    try {
        multidimensionalCounter0.getCounts(2690);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
        //
        // 2,690 out of [0, 1,860] range
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",0,
project,0,test116,"public void test116() throws Throwable {
    int[] intArray0 = new int[1];
    intArray0[0] = 1;
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
    multidimensionalCounter0.toString();
    // Undeclared exception!
    try {
        multidimensionalCounter0.getCounts(1);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
        //
        // 1 out of [0, 1] range
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",1,
project,0,test127,"public void test127() throws Throwable {
    int[] intArray0 = new int[1];
    intArray0[0] = 1;
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
    // Undeclared exception!
    try {
        multidimensionalCounter0.getCounts(1);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
        //
        // 1 out of [0, 1] range
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",1,
project,0,test138,"public void test138() throws Throwable {
    int[] intArray0 = new int[1];
    intArray0[0] = 3047;
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
    int[] intArray1 = new int[3];
    intArray1[0] = 3047;
    intArray1[1] = 3047;
    intArray1[2] = 3047;
    // Undeclared exception!
    try {
        multidimensionalCounter0.getCount(intArray1);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
        //
        // 3 != 1
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",0,
project,0,test149,"public void test149() throws Throwable {
    int[] intArray0 = new int[2];
    intArray0[0] = (-483);
    intArray0[1] = (-2744);
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
    // Undeclared exception!
    try {
        multidimensionalCounter0.toString();
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
        //
        // 1 != 2
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",0,
project,0,test1510,"public void test1510() throws Throwable {
    int[] intArray0 = new int[3];
    intArray0[0] = 35;
    intArray0[1] = 1;
    intArray0[2] = 1;
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
    multidimensionalCounter0.getDimension();
    // Undeclared exception!
    try {
        multidimensionalCounter0.toString();
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
        //
        // 1 != 3
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",0,
project,0,test1611,"public void test1611() throws Throwable {
    int[] intArray0 = new int[7];
    intArray0[0] = (-2014);
    intArray0[1] = (-817);
    intArray0[2] = 276;
    intArray0[3] = (-1);
    intArray0[4] = 840;
    intArray0[5] = 1873;
    intArray0[6] = (-3518);
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
    multidimensionalCounter0.iterator();
    multidimensionalCounter0.spliterator();
    try {
        multidimensionalCounter0.getCount(intArray0);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
        //
        // -2,014 out of [0, -2,015] range
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",0,
project,0,test1712,"public void test1712() throws Throwable {
    int[] intArray0 = new int[3];
    intArray0[0] = (-4460);
    intArray0[1] = (-1677);
    intArray0[2] = 1900;
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
    try {
        multidimensionalCounter0.getCount(intArray0);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
        //
        // -4,460 out of [0, -4,461] range
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",0,
project,0,test1813,"public void test1813() throws Throwable {
    int[] intArray0 = new int[1];
    intArray0[0] = 188;
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
    try {
        multidimensionalCounter0.getCount(intArray0);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
        //
        // 188 out of [0, 187] range
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",0,
project,0,test2014,"public void test2014() throws Throwable {
    MultidimensionalCounter multidimensionalCounter0 = null;
    try {
        multidimensionalCounter0 = new MultidimensionalCounter((int[]) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",0,
project,0,test2416,"public void test2416() throws Throwable {
    int[] intArray0 = new int[0];
    MultidimensionalCounter multidimensionalCounter0 = null;
    try {
        multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
        fail(""Expecting exception: ArrayIndexOutOfBoundsException"");
    } catch (ArrayIndexOutOfBoundsException e) {
        //
        // -1
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",1,
project,0,test2517,"public void test2517() throws Throwable {
    int[] intArray0 = new int[6];
    intArray0[0] = 0;
    intArray0[1] = 750;
    intArray0[2] = (-1);
    intArray0[3] = 1;
    intArray0[4] = 507;
    intArray0[5] = 0;
    MultidimensionalCounter multidimensionalCounter0 = null;
    try {
        multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
        fail(""Expecting exception: RuntimeException"");
    } catch (RuntimeException e) {
        //
        // 0 is smaller than, or equal to, the minimum (0)
        //
        verifyException(""org.apache.commons.math.util.MultidimensionalCounter"", e);
    }
}",0,
project,0,test2618,"public void test2618() throws Throwable {
    int[] intArray0 = new int[1];
    intArray0[0] = 567;
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
    Consumer<Object> consumer0 = (Consumer<Object>) mock(Consumer.class, new ViolatedAssumptionAnswer());
    multidimensionalCounter0.forEach(consumer0);
    multidimensionalCounter0.toString();
    String string0 = multidimensionalCounter0.toString();
    assertEquals(""[0]"", string0);
}",0,assertNotNull(string0)
project,0,test2619,"public void test2619() throws Throwable {
    int[] intArray0 = new int[1];
    intArray0[0] = 567;
    MultidimensionalCounter multidimensionalCounter0 = new MultidimensionalCounter(intArray0);
    Consumer<Object> consumer0 = (Consumer<Object>) mock(Consumer.class, new ViolatedAssumptionAnswer());
    multidimensionalCounter0.forEach(consumer0);
    multidimensionalCounter0.toString();
    String string0 = multidimensionalCounter0.toString();
    assertEquals(567, multidimensionalCounter0.getSize());
}",0,"assertEquals(1, multidimensionalCounter0.getSize())"
