project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
project,0,test000,0,0,False,"",""
project,0,test001,0,0,False,"",""
project,0,test012,0,0,False,"",""
project,0,test013,0,0,False,"",""
project,0,test024,0,0,False,"",""
project,0,test035,0,0,False,"",""
project,0,test046,0,0,False,"",""
project,0,test057,0,0,False,"",""
project,0,test068,0,0,False,"",""
project,0,test069,0,0,False,"",""
project,0,test0710,0,0,False,"",""
project,0,test0811,0,0,False,"",""
project,0,test0912,0,0,False,"",""
project,0,test1013,0,0,False,"",""
project,0,test1114,0,0,False,"",""
project,0,test1215,0,0,False,"",""
project,0,test1216,0,0,False,"",""
project,0,test1317,0,0,False,"",""
project,0,test1318,0,0,False,"",""
project,0,test1319,0,0,False,"",""
project,0,test1420,0,0,False,"",""
project,0,test1421,0,0,False,"",""
project,0,test1522,0,0,False,"",""
project,0,test1523,0,0,False,"",""
project,0,test1624,0,0,False,"",""
project,0,test1625,0,0,False,"",""
project,0,test1726,0,0,False,"",""
project,0,test1827,0,0,False,"",""
project,0,test1828,0,0,False,"",""
project,0,test1929,0,0,False,"",""
project,0,test2030,0,0,False,"",""
project,0,test2031,0,0,False,"",""
project,0,test2132,0,0,False,"",""
project,0,test2233,0,0,False,"",""
project,0,test2334,0,0,False,"",""
project,0,test2435,0,0,False,"",""
project,0,test2536,0,0,False,"",""
project,0,test2637,0,0,False,"",""
project,0,test2738,0,0,False,"",""
project,0,test2839,0,0,False,"",""
project,0,test2940,0,0,False,"",""
project,0,test3041,0,0,False,"",""
project,0,test3142,0,0,False,"",""
project,0,test3244,0,0,False,"",""
project,0,test3345,0,0,False,"",""
project,0,test3346,0,0,False,"",""
project,0,test3447,0,0,False,"",""
project,0,test3448,0,0,False,"",""
project,0,test3549,0,0,False,"",""
project,0,test3550,0,0,False,"",""
project,0,test3651,0,0,False,"",""
