project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    Minute minute0 = new Minute();
    RegularTimePeriod regularTimePeriod0 = minute0.next();
    // Undeclared exception!
    try {
        defaultBoxAndWhiskerCategoryDataset0.getOutliers((Comparable) regularTimePeriod0, (Comparable) minute0);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Row key (Fri Feb 14 20:21:21 GMT 2014) not recognised.
        //
        verifyException(""org.jfree.data.KeyedObjects2D"", e);
    }
}",1,
project,0,test011,"public void test011() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    FixedMillisecond fixedMillisecond0 = new FixedMillisecond((-3132L));
    RegularTimePeriod regularTimePeriod0 = fixedMillisecond0.previous();
    // Undeclared exception!
    try {
        defaultBoxAndWhiskerCategoryDataset0.getMaxOutlier((Comparable) fixedMillisecond0, (Comparable) regularTimePeriod0);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Row key (Wed Dec 31 23:59:56 GMT 1969) not recognised.
        //
        verifyException(""org.jfree.data.KeyedObjects2D"", e);
    }
}",1,
project,0,test022,"public void test022() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    Week week0 = new Week();
    RegularTimePeriod regularTimePeriod0 = week0.previous();
    // Undeclared exception!
    try {
        defaultBoxAndWhiskerCategoryDataset0.getMaxRegularValue((Comparable) regularTimePeriod0, (Comparable) week0);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Row key (Week 6, 2014) not recognised.
        //
        verifyException(""org.jfree.data.KeyedObjects2D"", e);
    }
}",1,
project,0,test033,"public void test033() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    // Undeclared exception!
    try {
        defaultBoxAndWhiskerCategoryDataset0.getMinRegularValue(795, 0);
        fail(""Expecting exception: IndexOutOfBoundsException"");
    } catch (IndexOutOfBoundsException e) {
        //
        // Index: 795, Size: 0
        //
        verifyException(""java.util.ArrayList"", e);
    }
}",0,
project,0,test044,"public void test044() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    MockDate mockDate0 = new MockDate(5L);
    Second second0 = new Second(mockDate0);
    Millisecond millisecond0 = new Millisecond((-4245), second0);
    TimeSeriesDataItem timeSeriesDataItem0 = new TimeSeriesDataItem((RegularTimePeriod) millisecond0, (double) 5L);
    // Undeclared exception!
    try {
        defaultBoxAndWhiskerCategoryDataset0.getQ3Value((Comparable) millisecond0, (Comparable) timeSeriesDataItem0);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Row key (Fri Feb 14 20:21:21 GMT 2014) not recognised.
        //
        verifyException(""org.jfree.data.KeyedObjects2D"", e);
    }
}",1,
project,0,test055,"public void test055() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    Float float0 = new Float((double) 0);
    Float float1 = new Float(0.0F);
    // Undeclared exception!
    try {
        defaultBoxAndWhiskerCategoryDataset0.getMeanValue((Comparable) float1, (Comparable) float0);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Row key (0.0) not recognised.
        //
        verifyException(""org.jfree.data.KeyedObjects2D"", e);
    }
}",1,
project,0,test066,"public void test066() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    Hour hour0 = new Hour();
    RegularTimePeriod regularTimePeriod0 = hour0.previous();
    // Undeclared exception!
    try {
        defaultBoxAndWhiskerCategoryDataset0.getValue((Comparable) regularTimePeriod0, (Comparable) hour0);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Row key (Fri Feb 14 20:21:21 GMT 2014) not recognised.
        //
        verifyException(""org.jfree.data.KeyedObjects2D"", e);
    }
}",0,
project,0,test077,"public void test077() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    // Undeclared exception!
    try {
        defaultBoxAndWhiskerCategoryDataset0.getValue(894, 121);
        fail(""Expecting exception: IndexOutOfBoundsException"");
    } catch (IndexOutOfBoundsException e) {
        //
        // Index: 894, Size: 0
        //
        verifyException(""java.util.ArrayList"", e);
    }
}",0,
project,0,test088,"public void test088() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    FixedMillisecond fixedMillisecond0 = new FixedMillisecond();
    LinkedList<DefaultTableModel> linkedList0 = new LinkedList<DefaultTableModel>();
    MockDate mockDate0 = new MockDate(1L);
    Millisecond millisecond0 = new Millisecond(mockDate0);
    // Undeclared exception!
    try {
        defaultBoxAndWhiskerCategoryDataset0.add((List) linkedList0, (Comparable) fixedMillisecond0, (Comparable) millisecond0);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Range(double, double): require lower (Infinity) <= upper (-Infinity).
        //
        verifyException(""org.jfree.data.Range"", e);
    }
}",0,
project,0,test099,"public void test099() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    Float float0 = new Float((double) 0);
    Vector<String> vector0 = new Vector<String>();
    BoxAndWhiskerItem boxAndWhiskerItem0 = new BoxAndWhiskerItem((Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (List) vector0);
    defaultBoxAndWhiskerCategoryDataset0.add(boxAndWhiskerItem0, (Comparable) float0, (Comparable) float0);
    Number number0 = defaultBoxAndWhiskerCategoryDataset0.getValue((Comparable) float0, (Comparable) float0);
    assertEquals(0.0F, number0);
}",0,
project,0,test1010,"public void test1010() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    Float float0 = new Float((double) 0);
    Vector<String> vector0 = new Vector<String>();
    BoxAndWhiskerItem boxAndWhiskerItem0 = new BoxAndWhiskerItem((Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (List) vector0);
    defaultBoxAndWhiskerCategoryDataset0.add(boxAndWhiskerItem0, (Comparable) float0, (Comparable) float0);
    Comparable comparable0 = defaultBoxAndWhiskerCategoryDataset0.getRowKey(0);
    assertEquals(0.0F, comparable0);
}",1,
project,0,test1111,"public void test1111() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    Float float0 = new Float((double) 0);
    Vector<String> vector0 = new Vector<String>();
    BoxAndWhiskerItem boxAndWhiskerItem0 = new BoxAndWhiskerItem((Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (List) vector0);
    defaultBoxAndWhiskerCategoryDataset0.add(boxAndWhiskerItem0, (Comparable) float0, (Comparable) float0);
    int int0 = defaultBoxAndWhiskerCategoryDataset0.getRowIndex(float0);
    assertEquals(0, int0);
}",1,
project,0,test1212,"public void test1212() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    Float float0 = new Float((double) 0);
    Vector<String> vector0 = new Vector<String>();
    BoxAndWhiskerItem boxAndWhiskerItem0 = new BoxAndWhiskerItem((Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (List) vector0);
    defaultBoxAndWhiskerCategoryDataset0.add(boxAndWhiskerItem0, (Comparable) float0, (Comparable) float0);
    int int0 = defaultBoxAndWhiskerCategoryDataset0.getRowCount();
    assertEquals(1, int0);
}",0,"assertEquals(1, int0)"
project,0,test1313,"public void test1313() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    Float float0 = new Float((double) 0);
    Vector<String> vector0 = new Vector<String>();
    BoxAndWhiskerItem boxAndWhiskerItem0 = new BoxAndWhiskerItem((Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (List) vector0);
    defaultBoxAndWhiskerCategoryDataset0.add(boxAndWhiskerItem0, (Comparable) float0, (Comparable) float0);
    double double0 = defaultBoxAndWhiskerCategoryDataset0.getRangeUpperBound(false);
    assertEquals(0.0, double0, 0.01);
}",0,
project,0,test1414,"public void test1414() throws Throwable {
    DefaultBoxAndWhiskerCategoryDataset defaultBoxAndWhiskerCategoryDataset0 = new DefaultBoxAndWhiskerCategoryDataset();
    Float float0 = new Float((double) 0);
    Vector<String> vector0 = new Vector<String>();
    BoxAndWhiskerItem boxAndWhiskerItem0 = new BoxAndWhiskerItem((Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (Number) float0, (List) vector0);
    defaultBoxAndWhiskerCategoryDataset0.add(boxAndWhiskerItem0, (Comparable) float0, (Comparable) float0);
    double double0 = defaultBoxAndWhiskerCategoryDataset0.getRangeLowerBound(false);
    assertEquals(0.0, double0, 0.01);
}",0,
