project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
project,0,test1730,0,0,False,"",""
project,0,test1831,0,0,False,"",""
project,0,test1932,0,0,False,"",""
project,0,test2033,0,0,False,"",""
project,0,test2235,0,0,False,"",""
project,0,test2336,0,0,False,"",""
project,0,test2540,0,0,False,"",""
project,0,test2641,0,0,False,"",""
project,0,test2742,0,0,False,"",""
project,0,test2843,0,0,False,"",""
project,0,test3763,0,0,False,"",""
project,0,test3866,0,0,False,"",""
project,0,test5089,0,0,False,"",""
project,0,test5190,0,0,False,"",""
project,0,test5291,0,0,False,"",""
project,0,test5392,0,0,False,"",""
project,0,test5493,0,0,False,"",""
project,0,test5594,0,0,False,"",""
project,0,test5796,0,0,False,"",""
project,0,test5898,0,0,False,"",""
project,0,test5999,0,0,False,"",""
project,0,test60100,0,0,False,"",""
project,0,test61103,0,0,False,"",""
project,0,test62104,0,0,False,"",""
project,0,test63105,0,0,False,"",""
project,0,test64106,0,0,False,"",""
project,0,test65107,0,0,False,"",""
