project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.WARNING;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    Node node0 = new Node(105, 105, 105);
    Node node1 = new Node(86, node0, node0, 21, 105);
    boolean boolean0 = checkGlobalThis0.shouldTraverse((NodeTraversal) null, node0, node1);
    assertTrue(boolean0);
}",0,
project,0,test011,"public void test011() throws Throwable {
    Compiler compiler0 = new Compiler();
    Node node0 = new Node(105);
    node0.addSuppression(""<"");
    CheckLevel checkLevel0 = CheckLevel.OFF;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    NodeTraversal nodeTraversal0 = new NodeTraversal(compiler0, checkGlobalThis0);
    Node node1 = compiler0.parseSyntheticCode(""<"", ""<"");
    boolean boolean0 = checkGlobalThis0.shouldTraverse(nodeTraversal0, node0, node1);
    assertTrue(boolean0);
}",0,
project,0,test022,"public void test022() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.ERROR;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    Node node0 = new Node(105, 105, 132);
    Node node1 = new Node(132, node0, node0, 8, 1);
    boolean boolean0 = checkGlobalThis0.shouldTraverse((NodeTraversal) null, node0, node1);
    assertTrue(boolean0);
}",0,
project,0,test033,"public void test033() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.WARNING;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    Node node0 = new Node(105);
    Node node1 = new Node(38, node0, node0, 1, 28);
    node0.addChildToFront(node1);
    NodeTraversal nodeTraversal0 = new NodeTraversal(compiler0, checkGlobalThis0);
    boolean boolean0 = checkGlobalThis0.shouldTraverse(nodeTraversal0, node0, node1);
    assertTrue(boolean0);
}",0,
project,0,test044,"public void test044() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.OFF;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    Node node0 = new Node(105);
    Node node1 = new Node(17, node0, node0, 49, 19);
    Node node2 = Node.newString(""<K"");
    boolean boolean0 = checkGlobalThis0.shouldTraverse((NodeTraversal) null, node0, node2);
    assertTrue(boolean0);
}",0,
project,0,test055,"public void test055() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.OFF;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    Node node0 = new Node(105, 105, 105);
    Node node1 = new Node(39, node0, node0, 27, 20);
    boolean boolean0 = checkGlobalThis0.shouldTraverse((NodeTraversal) null, node0, node1);
    assertTrue(boolean0);
}",0,
project,0,test066,"public void test066() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.ERROR;
    Node node0 = new Node(42, 42, 42);
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    NodeTraversal nodeTraversal0 = new NodeTraversal(compiler0, checkGlobalThis0);
    boolean boolean0 = checkGlobalThis0.shouldTraverse(nodeTraversal0, node0, (Node) null);
    assertTrue(boolean0);
}",0,
project,0,test077,"public void test077() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.WARNING;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    Node node0 = new Node(33, 33, 33);
    Node node1 = new Node(86, node0, node0, 14, 15);
    boolean boolean0 = checkGlobalThis0.shouldTraverse((NodeTraversal) null, node0, node1);
    boolean boolean1 = checkGlobalThis0.shouldTraverse((NodeTraversal) null, node0, node1);
    assertTrue(boolean1 == boolean0);
}",0,
project,0,test088,"public void test088() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.ERROR;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    Node node0 = new Node(16);
    Node node1 = new Node(86, node0, node0, 14, 12);
    boolean boolean0 = checkGlobalThis0.shouldTraverse((NodeTraversal) null, node1, node1);
    assertTrue(boolean0);
}",0,
project,0,test099,"public void test099() throws Throwable {
    Compiler compiler0 = new Compiler();
    CheckLevel checkLevel0 = CheckLevel.ERROR;
    CheckGlobalThis checkGlobalThis0 = new CheckGlobalThis(compiler0, checkLevel0);
    Node node0 = new Node(33);
    Node node1 = new Node(86, node0, node0, 14, 12);
    // Undeclared exception!
    try {
        checkGlobalThis0.shouldTraverse((NodeTraversal) null, node1, node1);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""com.google.javascript.jscomp.CheckGlobalThis"", e);
    }
}",0,
