project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual(""V?R o|=cMEo\n`"", ""V?R o|=cMEo\n`"");
}",0,
project,0,test011,"public void test011() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.setMaxCodeLen((-1));
}",0,
project,0,test022,"public void test022() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.encode("""");
}",0,
project,0,test033,"public void test033() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone(""oF'lp"");
}",0,
project,0,test044,"public void test044() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    Object object0 = new Object();
    try {
        metaphone0.encode(object0);
        fail(""Expecting exception: Exception"");
    } catch (Exception e) {
        //
        // Parameter supplied to Metaphone encode is not of type java.lang.String
        //
        verifyException(""org.apache.commons.codec.language.Metaphone"", e);
    }
}",1,
project,0,test055,"public void test055() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone(""90PU9"");
}",0,
project,0,test066,"public void test066() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual(""h\""Xsf"", ""h\""Xsf"");
}",0,
project,0,test077,"public void test077() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone(""pFB]r[E&mk[h"");
}",0,
project,0,test088,"public void test088() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone(""KJ&%XJyh,HQm7"");
}",0,
project,0,test099,"public void test099() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone(""og.apache.commons.codec.EncodrException"");
}",0,
project,0,test1010,"public void test1010() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone(""zt TSkQjV+/ 8qf%s!"");
}",0,
project,0,test1111,"public void test1111() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone(""SP"");
}",0,
project,0,test1212,"public void test1212() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.encode(""iXT,"");
}",0,
project,0,test1313,"public void test1313() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.encode(""Parameter supplied to Metaphone encode is not of type java.lang.String"");
}",0,
project,0,test1414,"public void test1414() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone((String) null);
}",0,
project,0,test1515,"public void test1515() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone("""");
}",0,
project,0,test1616,"public void test1616() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.encode((Object) ""\""|ckUNd(G8sM!YGONw"");
}",1,
project,0,test1717,"public void test1717() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual(""TH"", ""TH"");
}",0,
project,0,test1818,"public void test1818() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual("" {,'DqH>"", "" {,'DqH>"");
}",0,
project,0,test1919,"public void test1919() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.encode(""SC"");
}",0,
project,0,test2020,"public void test2020() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone(""T"");
}",0,
project,0,test2121,"public void test2121() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual(""mBw@+c_3gmD"", ""mBw@+c_3gmD"");
}",0,
project,0,test2222,"public void test2222() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone(""y._D#`"");
}",0,
project,0,test2323,"public void test2323() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual(""p)>zyU\""ESfN7nW"", ""p)>zyU\""ESfN7nW"");
}",0,
project,0,test2424,"public void test2424() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone(""XKSR"");
}",0,
project,0,test2525,"public void test2525() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual(""EIY"", ""org.apache.commons.codec.EncoderException"");
}",0,
project,0,test2626,"public void test2626() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone(""SCQ"");
}",0,
project,0,test2727,"public void test2727() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual("".|SH5's[aW|j:;K."", "".|SH5's[aW|j:;K."");
}",0,
project,0,test2828,"public void test2828() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual(""Y`Y1go"", ""Y`Y1go"");
}",0,
project,0,test2929,"public void test2929() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual(""ph`/O{&dOS<V"", ""ph`/O{&dOS<V"");
}",0,
project,0,test3030,"public void test3030() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.metaphone(""hcU8nbb88]MP"");
}",0,
project,0,test3131,"public void test3131() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.encode(""T;lc'BG(OO<A+("");
}",0,
project,0,test3232,"public void test3232() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual(""_dS"", ""_dS"");
}",0,
project,0,test3333,"public void test3333() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual(""wSaUWn"", "" 9v(u/Bfg"");
}",0,
project,0,test3434,"public void test3434() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual(""wSa6UWn"", ""wSa6UWn"");
}",0,
project,0,test3535,"public void test3535() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    metaphone0.isMetaphoneEqual(""GN"", ""GN"");
}",0,
project,0,test3636,"public void test3636() throws Throwable {
    Metaphone metaphone0 = new Metaphone();
    Metaphone metaphone1 = new Metaphone();
    metaphone1.metaphone(""nRlUW)_}-39xb-/z^gU"");
}",0,
