project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    assertTrue(jsonWriteContext0.inRoot());
}",0,assertTrue(jsonWriteContext0.inRoot())
project,0,test001,"public void test001() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    JsonWriteContext jsonWriteContext1 = jsonWriteContext0.reset(1666);
    jsonWriteContext1.toString();
    assertFalse(jsonWriteContext1.inRoot());
}",0,assertTrue(jsonWriteContext1.inRoot())
project,0,test012,"public void test012() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    JsonWriteContext jsonWriteContext1 = jsonWriteContext0.reset(1666);
    int int0 = jsonWriteContext1.writeValue();
    assertEquals(1, jsonWriteContext1.getEntryCount());
}",0,"assertEquals(0, jsonWriteContext1.getEntryCount())"
project,0,test013,"public void test013() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    JsonWriteContext jsonWriteContext1 = jsonWriteContext0.reset(1666);
    int int0 = jsonWriteContext1.writeValue();
    assertEquals(0, int0);
}",0,"assertEquals(0, int0)"
project,0,test024,"public void test024() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    jsonWriteContext0.writeValue();
    jsonWriteContext0.writeValue();
    int int0 = jsonWriteContext0.writeFieldName(""p1zlWIIjB`i3 N"");
    assertEquals(1, jsonWriteContext0.getCurrentIndex());
}",0,"assertEquals(0, jsonWriteContext0.getCurrentIndex())"
project,0,test025,"public void test025() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    jsonWriteContext0.writeValue();
    jsonWriteContext0.writeValue();
    int int0 = jsonWriteContext0.writeFieldName(""p1zlWIIjB`i3 N"");
    assertEquals(1, int0);
}",0,"assertEquals(0, int0)"
project,0,test037,"public void test037() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    StringBuilder stringBuilder0 = new StringBuilder(""WRITE_BIGDECIMAL_AS_PLAIN"");
    jsonWriteContext0.appendDesc(stringBuilder0);
    assertEquals(""ROOT"", jsonWriteContext0.getTypeDesc());
}",0,
project,0,test048,"public void test048() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext((DupDetector) null);
    JsonWriteContext jsonWriteContext1 = jsonWriteContext0.createChildArrayContext();
    JsonWriteContext jsonWriteContext2 = jsonWriteContext1.withDupDetector((DupDetector) null);
    jsonWriteContext0.createChildObjectContext();
    jsonWriteContext2.withDupDetector((DupDetector) null);
    assertEquals(""OBJECT"", jsonWriteContext2.getTypeDesc());
}",0,
project,0,test049,"public void test049() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext((DupDetector) null);
    JsonWriteContext jsonWriteContext1 = jsonWriteContext0.createChildArrayContext();
    JsonWriteContext jsonWriteContext2 = jsonWriteContext1.withDupDetector((DupDetector) null);
    jsonWriteContext0.createChildObjectContext();
    jsonWriteContext2.withDupDetector((DupDetector) null);
    assertTrue(jsonWriteContext0.inRoot());
}",0,assertTrue(jsonWriteContext0.inRoot())
project,0,test0510,"public void test0510() throws Throwable {
    DupDetector dupDetector0 = DupDetector.rootDetector((JsonParser) null);
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext(dupDetector0);
    jsonWriteContext0.writeValue();
    jsonWriteContext0.writeValue();
    jsonWriteContext0.withDupDetector(dupDetector0);
    assertEquals(1, jsonWriteContext0.getCurrentIndex());
}",0,"assertEquals(0, jsonWriteContext0.getCurrentIndex())"
project,0,test0611,"public void test0611() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    assertFalse(jsonWriteContext0.inObject());
}",0,
project,0,test0612,"public void test0612() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    jsonWriteContext0.reset(2);
    assertTrue(jsonWriteContext0.inObject());
}",0,assertFalse(jsonWriteContext0.inObject())
project,0,test0714,"public void test0714() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    JsonWriteContext jsonWriteContext1 = jsonWriteContext0.reset(1);
    assertFalse(jsonWriteContext1.inRoot());
}",0,
project,0,test0815,"public void test0815() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    jsonWriteContext0.reset(0);
    assertEquals(0, jsonWriteContext0.getEntryCount());
}",0,"assertEquals(1, jsonWriteContext0.getEntryCount())"
project,0,test0816,"public void test0816() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    jsonWriteContext0.reset(0);
    assertEquals(""ROOT"", jsonWriteContext0.getTypeDesc());
}",0,
project,0,test0917,"public void test0917() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    JsonWriteContext jsonWriteContext1 = jsonWriteContext0.createChildObjectContext();
    JsonWriteContext jsonWriteContext2 = jsonWriteContext1.createChildArrayContext();
    JsonWriteContext jsonWriteContext3 = jsonWriteContext2.getParent();
    assertEquals(""ARRAY"", jsonWriteContext2.getTypeDesc());
}",0,
project,0,test0918,"public void test0918() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    JsonWriteContext jsonWriteContext1 = jsonWriteContext0.createChildObjectContext();
    JsonWriteContext jsonWriteContext2 = jsonWriteContext1.createChildArrayContext();
    JsonWriteContext jsonWriteContext3 = jsonWriteContext2.getParent();
    assertFalse(jsonWriteContext0.inArray());
}",0,assertTrue(jsonWriteContext0.inArray())
project,0,test0919,"public void test0919() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    JsonWriteContext jsonWriteContext1 = jsonWriteContext0.createChildObjectContext();
    JsonWriteContext jsonWriteContext2 = jsonWriteContext1.createChildArrayContext();
    JsonWriteContext jsonWriteContext3 = jsonWriteContext2.getParent();
    assertEquals(""OBJECT"", jsonWriteContext3.getTypeDesc());
}",0,
project,0,test0920,"public void test0920() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    JsonWriteContext jsonWriteContext1 = jsonWriteContext0.createChildObjectContext();
    JsonWriteContext jsonWriteContext2 = jsonWriteContext1.createChildArrayContext();
    JsonWriteContext jsonWriteContext3 = jsonWriteContext2.getParent();
    assertEquals(0, jsonWriteContext3.getEntryCount());
}",0,"assertEquals(0, jsonWriteContext3.getEntryCount())"
project,0,test0921,"public void test0921() throws Throwable {
    JsonWriteContext jsonWriteContext0 = JsonWriteContext.createRootContext();
    JsonWriteContext jsonWriteContext1 = jsonWriteContext0.createChildObjectContext();
    JsonWriteContext jsonWriteContext2 = jsonWriteContext1.createChildArrayContext();
    JsonWriteContext jsonWriteContext3 = jsonWriteContext2.getParent();
    assertNotNull(jsonWriteContext3);
}",0,
