project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
project,0,test022,0,0,False,"",""
project,0,test033,0,0,False,"",""
project,0,test055,0,0,False,"",""
project,0,test066,0,0,False,"",""
project,0,test077,0,0,False,"",""
project,0,test088,0,0,False,"",""
project,0,test099,0,0,False,"",""
project,0,test1111,0,0,False,"",""
project,0,test1414,0,0,False,"",""
project,0,test1515,0,0,False,"",""
project,0,test1616,0,0,False,"",""
project,0,test1919,0,0,False,"",""
project,0,test2020,0,0,False,"",""
project,0,test2121,0,0,False,"",""
project,0,test2929,0,0,False,"",""
project,0,test3030,0,0,False,"",""
project,0,test3232,0,0,False,"",""
project,0,test3333,0,0,False,"",""
project,0,test3434,0,0,False,"",""
project,0,test3535,0,0,False,"",""
project,0,test3636,0,0,False,"",""
project,0,test3737,0,0,False,"",""
project,0,test3838,0,0,False,"",""
project,0,test3939,0,0,False,"",""
project,0,test4040,0,0,False,"",""
project,0,test4141,0,0,False,"",""
project,0,test4242,0,0,False,"",""
project,0,test4343,0,0,False,"",""
project,0,test4444,0,0,False,"",""
project,0,test4545,0,0,False,"",""
project,0,test4949,0,0,False,"",""
