project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    UUIDDeserializer uUIDDeserializer0 = new UUIDDeserializer();
    Class<String> class0 = String.class;
    FromStringDeserializer.Std fromStringDeserializer_Std0 = new FromStringDeserializer.Std(class0, (-2299));
    fromStringDeserializer_Std0._deserializeFromEmptyString();
    uUIDDeserializer0._deserializeEmbedded((Object) null, (DeserializationContext) null);
}",0,
project,0,test011,"public void test011() throws Throwable {
    Class<File> class0 = File.class;
    FromStringDeserializer.findDeserializer(class0);
}",0,
project,0,test066,"public void test066() throws Throwable {
    Class<TimeZone> class0 = TimeZone.class;
    UUIDDeserializer uUIDDeserializer0 = new UUIDDeserializer();
    uUIDDeserializer0._deserializeEmbedded(class0, (DeserializationContext) null);
}",0,
project,0,test088,"public void test088() throws Throwable {
    Class<URL> class0 = URL.class;
    FromStringDeserializer.findDeserializer(class0);
}",0,
project,0,test1313,"public void test1313() throws Throwable {
    Class<InetSocketAddress> class0 = InetSocketAddress.class;
    FromStringDeserializer.findDeserializer(class0);
}",0,
project,0,test1717,"public void test1717() throws Throwable {
    Class<TimeZone> class0 = TimeZone.class;
    FromStringDeserializer.findDeserializer(class0);
}",0,
project,0,test2020,"public void test2020() throws Throwable {
    Class<Locale> class0 = Locale.class;
    FromStringDeserializer.findDeserializer(class0);
}",0,
project,0,test2323,"public void test2323() throws Throwable {
    Class<Charset> class0 = Charset.class;
    FromStringDeserializer.findDeserializer(class0);
}",0,
project,0,test2626,"public void test2626() throws Throwable {
    Class<InetAddress> class0 = InetAddress.class;
    FromStringDeserializer.findDeserializer(class0);
}",0,
project,0,test2727,"public void test2727() throws Throwable {
    Class<Currency> class0 = Currency.class;
    FromStringDeserializer.findDeserializer(class0);
}",0,
project,0,test2828,"public void test2828() throws Throwable {
    Class<Pattern> class0 = Pattern.class;
    FromStringDeserializer.findDeserializer(class0);
}",0,
project,0,test3333,"public void test3333() throws Throwable {
    ArrayDeque<ValueInstantiators> arrayDeque0 = new ArrayDeque<ValueInstantiators>();
    Class<CollectionLikeType> class0 = CollectionLikeType.class;
    BufferRecycler bufferRecycler0 = new BufferRecycler();
    ObjectMapper objectMapper0 = new ObjectMapper();
    ObjectReader objectReader0 = objectMapper0.readerForUpdating(class0);
    objectReader0.withView(class0);
}",0,
