project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
project,0,test011,0,0,False,"",""
project,0,test022,0,0,False,"",""
project,0,test033,0,0,False,"",""
project,0,test044,0,0,False,"",""
project,0,test045,0,0,False,"",""
project,0,test056,0,0,False,"",""
project,0,test078,0,0,False,"",""
project,0,test0910,0,0,False,"",""
project,0,test1011,0,0,False,"",""
project,0,test1112,0,0,False,"",""
project,0,test1213,0,0,False,"",""
project,0,test1314,0,0,False,"",""
project,0,test1415,0,0,False,"",""
project,0,test1516,0,0,False,"",""
project,0,test1617,0,0,False,"",""
project,0,test1718,0,0,False,"",""
project,0,test1819,0,0,False,"",""
project,0,test1920,0,0,False,"",""
project,0,test2021,0,0,False,"",""
project,0,test2122,0,0,False,"",""
project,0,test2223,0,0,False,"",""
project,0,test2324,0,0,False,"",""
project,0,test2325,0,0,False,"",""
project,0,test2426,0,0,False,"",""
project,0,test2527,0,0,False,"",""
project,0,test2628,0,0,False,"",""
project,0,test2830,0,0,False,"",""
project,0,test2931,0,0,False,"",""
project,0,test3032,0,0,False,"",""
project,0,test3133,0,0,False,"",""
project,0,test3234,0,0,False,"",""
project,0,test3235,0,0,False,"",""
project,0,test3336,0,0,False,"",""
project,0,test3437,0,0,False,"",""
project,0,test3538,0,0,False,"",""
project,0,test3639,0,0,False,"",""
project,0,test3640,0,0,False,"",""
project,0,test3741,0,0,False,"",""
project,0,test3742,0,0,False,"",""
