project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
project,0,test055,0,0,False,"",""
project,0,test0910,0,0,False,"",""
project,0,test1213,0,0,False,"",""
project,0,test1314,0,0,False,"",""
project,0,test1415,0,0,False,"",""
project,0,test1516,0,0,False,"",""
project,0,test1617,0,0,False,"",""
project,0,test1718,0,0,False,"",""
project,0,test1819,0,0,False,"",""
project,0,test1920,0,0,False,"",""
project,0,test2324,0,0,False,"",""
project,0,test2425,0,0,False,"",""
project,0,test2526,0,0,False,"",""
project,0,test2627,0,0,False,"",""
project,0,test2831,0,0,False,"",""
project,0,test3033,0,0,False,"",""
project,0,test3134,0,0,False,"",""
project,0,test3235,0,0,False,"",""
