project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
project,0,test011,0,0,False,"",""
project,0,test022,0,0,False,"",""
project,0,test034,0,0,False,"",""
project,0,test045,0,0,False,"",""
project,0,test056,0,0,False,"",""
project,0,test0911,0,0,False,"",""
project,0,test1012,0,0,False,"",""
project,0,test1214,0,0,False,"",""
project,0,test1315,0,0,False,"",""
project,0,test1416,0,0,False,"",""
project,0,test1517,0,0,False,"",""
project,0,test1618,0,0,False,"",""
project,0,test1619,0,0,False,"",""
project,0,test1721,0,0,False,"",""
project,0,test1823,0,0,False,"",""
project,0,test1924,0,0,False,"",""
project,0,test2126,0,0,False,"",""
project,0,test2227,0,0,False,"",""
project,0,test2328,0,0,False,"",""
project,0,test2429,0,0,False,"",""
project,0,test2530,0,0,False,"",""
project,0,test2631,0,0,False,"",""
project,0,test2732,0,0,False,"",""
project,0,test2833,0,0,False,"",""
project,0,test2935,0,0,False,"",""
project,0,test3036,0,0,False,"",""
project,0,test3137,0,0,False,"",""
project,0,test3238,0,0,False,"",""
project,0,test3339,0,0,False,"",""
project,0,test3642,0,0,False,"",""
project,0,test3743,0,0,False,"",""
