project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
project,0,test011,0,0,False,"",""
project,0,test0712,0,0,False,"",""
project,0,test0813,0,0,False,"",""
project,0,test0914,0,0,False,"",""
project,0,test1015,0,0,False,"",""
project,0,test1119,0,0,False,"",""
project,0,test1529,0,0,False,"",""
project,0,test1630,0,0,False,"",""
project,0,test1731,0,0,False,"",""
project,0,test1832,0,0,False,"",""
project,0,test1933,0,0,False,"",""
project,0,test2034,0,0,False,"",""
project,0,test2135,0,0,False,"",""
project,0,test2236,0,0,False,"",""
project,0,test2337,0,0,False,"",""
project,0,test2438,0,0,False,"",""
project,0,test2539,0,0,False,"",""
project,0,test2640,0,0,False,"",""
project,0,test2741,0,0,False,"",""
project,0,test2842,0,0,False,"",""
project,0,test2943,0,0,False,"",""
project,0,test3044,0,0,False,"",""
project,0,test3145,0,0,False,"",""
project,0,test3246,0,0,False,"",""
project,0,test3347,0,0,False,"",""
project,0,test3448,0,0,False,"",""
project,0,test3549,0,0,False,"",""
project,0,test3650,0,0,False,"",""
project,0,test3751,0,0,False,"",""
project,0,test3752,0,0,False,"",""
project,0,test3853,0,0,False,"",""
project,0,test3954,0,0,False,"",""
project,0,test4157,0,0,False,"",""
project,0,test4359,0,0,False,"",""
project,0,test4460,0,0,False,"",""
project,0,test4561,0,0,False,"",""
project,0,test4662,0,0,False,"",""
project,0,test4763,0,0,False,"",""
project,0,test4864,0,0,False,"",""
project,0,test4965,0,0,False,"",""
project,0,test5066,0,0,False,"",""
project,0,test5474,0,0,False,"",""
project,0,test5475,0,0,False,"",""
