project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    XmlTreeBuilder xmlTreeBuilder0 = new XmlTreeBuilder();
    xmlTreeBuilder0.parse(""PK<!!F/EC"", ""PK<!!F/EC"");
}",0,
project,0,test022,"public void test022() throws Throwable {
    XmlTreeBuilder xmlTreeBuilder0 = new XmlTreeBuilder();
    Token.Doctype token_Doctype0 = new Token.Doctype();
    // Undeclared exception!
    try {
        xmlTreeBuilder0.process(token_Doctype0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.jsoup.parser.XmlTreeBuilder"", e);
    }
}",0,
project,0,test033,"public void test033() throws Throwable {
    XmlTreeBuilder xmlTreeBuilder0 = new XmlTreeBuilder();
    xmlTreeBuilder0.parse(""colgroup"", ""colgroup"");
    Token.StartTag token_StartTag0 = new Token.StartTag();
    Token.Tag token_Tag0 = token_StartTag0.name(""colgroup"");
    token_Tag0.selfClosing = true;
    boolean boolean0 = xmlTreeBuilder0.process(token_StartTag0);
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test044,"public void test044() throws Throwable {
    XmlTreeBuilder xmlTreeBuilder0 = new XmlTreeBuilder();
    Document document0 = xmlTreeBuilder0.parse(""<P% a$ne?tFiy/>d"", ""<P% a$ne?tFiy/>d"");
    assertEquals(2, document0.childNodeSize());
}",0,"assertEquals(0, document0.childNodeSize())"
project,0,test055,"public void test055() throws Throwable {
    XmlTreeBuilder xmlTreeBuilder0 = new XmlTreeBuilder();
    Document document0 = xmlTreeBuilder0.parse(""<!--"", ""<!--"");
    assertFalse(document0.isBlock());
}",0,assertFalse(document0.isBlock())
project,0,test066,"public void test066() throws Throwable {
    XmlTreeBuilder xmlTreeBuilder0 = new XmlTreeBuilder();
    Document document0 = xmlTreeBuilder0.parse(""<!"", ""<!"");
    assertEquals(""<!"", document0.baseUri());
}",0,assertNotNull(document0.baseUri())
project,0,test077,"public void test077() throws Throwable {
    XmlTreeBuilder xmlTreeBuilder0 = new XmlTreeBuilder();
    Document document0 = xmlTreeBuilder0.parse(""jT: <?n&F$mcbjfk"", ""jT: <?n&F$mcbjfk"");
    assertEquals(""#document"", document0.nodeName());
}",0,assertNotNull(document0.nodeName())
project,0,test088,"public void test088() throws Throwable {
    XmlTreeBuilder xmlTreeBuilder0 = new XmlTreeBuilder();
    Document document0 = xmlTreeBuilder0.parse(""r<!YXKBj"", ""r<!YXKBj"");
    assertFalse(document0.isBlock());
}",0,assertTrue(document0.isBlock())
project,0,test099,"public void test099() throws Throwable {
    XmlTreeBuilder xmlTreeBuilder0 = new XmlTreeBuilder();
    xmlTreeBuilder0.parse(""colgroup"", ""colgroup"");
    boolean boolean0 = xmlTreeBuilder0.processEndTag(""colgroup"");
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
project,0,test1010,"public void test1010() throws Throwable {
    XmlTreeBuilder xmlTreeBuilder0 = new XmlTreeBuilder();
    xmlTreeBuilder0.parse(""b<sefomn>"", ""b<sefomn>"");
    boolean boolean0 = xmlTreeBuilder0.processEndTag(""#document"");
    assertTrue(boolean0);
}",0,assertTrue(boolean0)
