focal_method,test_prefix,docstring
"final StartTag asStartTag() {
    return (StartTag) this;
}","public void test088() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    Token.StartTag token_StartTag1 = token_StartTag0.asStartTag();
    assertSame(token_StartTag1, token_StartTag0);
}",""
"final EndTag asEndTag() {
    return (EndTag) this;
}","public void test099() throws Throwable {
    Token.EndTag token_EndTag0 = new Token.EndTag();
    Token.EndTag token_EndTag1 = token_EndTag0.asEndTag();
    assertSame(token_EndTag0, token_EndTag1);
}",""
"final Comment asComment() {
    return (Comment) this;
}","public void test1111() throws Throwable {
    Token.Comment token_Comment0 = new Token.Comment();
    Token.Comment token_Comment1 = token_Comment0.asComment();
    assertSame(token_Comment1, token_Comment0);
}",""
"final boolean isEOF() {
    return type == TokenType.EOF;
}","public void test1313() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    Attributes attributes0 = new Attributes();
    Token.StartTag token_StartTag1 = token_StartTag0.nameAttr(""org.jsoup.parser.Token$1"", attributes0);
    Token.TokenType token_TokenType0 = Token.TokenType.EOF;
    token_StartTag1.type = token_TokenType0;
    boolean boolean0 = token_StartTag0.isEOF();
    assertTrue(boolean0);
}",""
"final boolean isEOF() {
    return type == TokenType.EOF;
}","public void test1414() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    boolean boolean0 = token_StartTag0.isEOF();
    assertFalse(boolean0);
}",""
"final boolean isCharacter() {
    return type == TokenType.Character;
}","public void test1515() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    Token.TokenType token_TokenType0 = Token.TokenType.Character;
    token_StartTag0.type = token_TokenType0;
    boolean boolean0 = token_StartTag0.isCharacter();
    assertTrue(boolean0);
}",""
"final boolean isCharacter() {
    return type == TokenType.Character;
}","public void test1616() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    boolean boolean0 = token_StartTag0.isCharacter();
    assertFalse(boolean0);
}",""
"final boolean isComment() {
    return type == TokenType.Comment;
}","public void test1717() throws Throwable {
    Token.EndTag token_EndTag0 = new Token.EndTag();
    Token.TokenType token_TokenType0 = Token.TokenType.Comment;
    token_EndTag0.type = token_TokenType0;
    boolean boolean0 = token_EndTag0.isComment();
    assertTrue(boolean0);
}",""
"final boolean isComment() {
    return type == TokenType.Comment;
}","public void test1818() throws Throwable {
    Token.Character token_Character0 = new Token.Character();
    boolean boolean0 = token_Character0.isComment();
    assertFalse(boolean0);
}",""
"final boolean isEndTag() {
    return type == TokenType.EndTag;
}","public void test1919() throws Throwable {
    Token.Comment token_Comment0 = new Token.Comment();
    Token.TokenType token_TokenType0 = Token.TokenType.EndTag;
    token_Comment0.type = token_TokenType0;
    boolean boolean0 = token_Comment0.isEndTag();
    assertTrue(boolean0);
}",""
"final boolean isEndTag() {
    return type == TokenType.EndTag;
}","public void test2020() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    boolean boolean0 = token_StartTag0.isEndTag();
    assertFalse(boolean0);
}",""
"final boolean isStartTag() {
    return type == TokenType.StartTag;
}","public void test2121() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    boolean boolean0 = token_StartTag0.isStartTag();
    assertTrue(boolean0);
}",""
"final boolean isStartTag() {
    return type == TokenType.StartTag;
}","public void test2222() throws Throwable {
    Token.Comment token_Comment0 = new Token.Comment();
    boolean boolean0 = token_Comment0.isStartTag();
    assertFalse(boolean0);
}",""
"final boolean isDoctype() {
    return type == TokenType.Doctype;
}","public void test2323() throws Throwable {
    Token.Character token_Character0 = new Token.Character();
    Token.TokenType token_TokenType0 = Token.TokenType.Doctype;
    token_Character0.type = token_TokenType0;
    boolean boolean0 = token_Character0.isDoctype();
    assertTrue(boolean0);
}",""
"final boolean isDoctype() {
    return type == TokenType.Doctype;
}","public void test2424() throws Throwable {
    Token.StartTag token_StartTag0 = new Token.StartTag();
    boolean boolean0 = token_StartTag0.isDoctype();
    assertFalse(boolean0);
}",""
"static void reset(StringBuilder sb) {
    if (sb != null) {
        sb.delete(0, sb.length());
    }
}","public void test3535() throws Throwable {
    Token.reset((StringBuilder) null);
}",""
"final Comment asComment() {
    return (Comment) this;
}","public void test5252() throws Throwable {
    Token.Character token_Character0 = new Token.Character();
    // Undeclared exception!
    try {
        token_Character0.asComment();
        fail(""Expecting exception: ClassCastException"");
    } catch (ClassCastException e) {
        //
        // org.jsoup.parser.Token$Character cannot be cast to org.jsoup.parser.Token$Comment
        //
        verifyException(""org.jsoup.parser.Token"", e);
    }
}",""
"final Doctype asDoctype() {
    return (Doctype) this;
}","public void test5353() throws Throwable {
    Token.EndTag token_EndTag0 = new Token.EndTag();
    // Undeclared exception!
    try {
        token_EndTag0.asDoctype();
        fail(""Expecting exception: ClassCastException"");
    } catch (ClassCastException e) {
        //
        // org.jsoup.parser.Token$EndTag cannot be cast to org.jsoup.parser.Token$Doctype
        //
        verifyException(""org.jsoup.parser.Token"", e);
    }
}",""
