project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    Locale locale0 = Locale.JAPAN;
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, (Object) null, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, (QName) null);
    jDOMAttributeIterator0.getPosition();
}",0,
project,0,test011,"public void test011() throws Throwable {
    Locale locale0 = Locale.JAPAN;
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, (Object) null, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, (QName) null);
    jDOMAttributeIterator0.setPosition(Integer.MIN_VALUE);
}",0,
project,0,test022,"public void test022() throws Throwable {
    Locale locale0 = Locale.JAPAN;
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, (Object) null, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, (QName) null);
    jDOMAttributeIterator0.getNodePointer();
}",0,
project,0,test033,"public void test033() throws Throwable {
    Locale locale0 = Locale.JAPANESE;
    Element element0 = new Element(""me"", ""me"", ""me"");
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, element0, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, (QName) null);
}",0,
project,0,test044,"public void test044() throws Throwable {
    Locale locale0 = Locale.KOREA;
    Element element0 = new Element(""vy"");
    QName qName0 = new QName(""vy"");
    NodePointer nodePointer0 = NodePointer.newNodePointer(qName0, element0, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
}",0,
project,0,test055,"public void test055() throws Throwable {
    Locale locale0 = Locale.CHINESE;
    Element element0 = new Element(""vme"");
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, element0, locale0);
    QName qName0 = new QName(""<<unknown namespace>>"");
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
    jDOMAttributeIterator0.getNodePointer();
}",0,
project,0,test066,"public void test066() throws Throwable {
    Locale locale0 = Locale.PRC;
    Element element0 = new Element(""vy"");
    QName qName0 = new QName(""vy"", ""vy"");
    NodePointer nodePointer0 = NodePointer.newNodePointer(qName0, element0, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
}",0,
project,0,test077,"public void test077() throws Throwable {
    Locale locale0 = Locale.JAPANESE;
    Element element0 = new Element(""vme"", ""vme"", ""vme"");
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, element0, locale0);
    QName qName0 = new QName(""<<unknown namespace>>"");
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
    jDOMAttributeIterator0.setPosition(Integer.MIN_VALUE);
}",0,
project,0,test088,"public void test088() throws Throwable {
    Locale locale0 = Locale.CANADA_FRENCH;
    Namespace namespace0 = Namespace.NO_NAMESPACE;
    Element element0 = new Element(""vq"", namespace0);
    QName qName0 = new QName(""vq"");
    Element element1 = element0.setAttribute(""vq"", ""vq"", namespace0);
    NodePointer nodePointer0 = NodePointer.newNodePointer(qName0, element1, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
    jDOMAttributeIterator0.getNodePointer();
}",0,
project,0,test099,"public void test099() throws Throwable {
    Locale locale0 = Locale.JAPANESE;
    Element element0 = new Element(""vme"", ""vme"");
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, element0, locale0);
    QName qName0 = new QName(""vme"");
    nodePointer0.createAttribute((JXPathContext) null, qName0);
}",1,
project,0,test1010,"public void test1010() throws Throwable {
    Locale locale0 = Locale.CHINESE;
    Element element0 = new Element(""vme"");
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, element0, locale0);
    QName qName0 = new QName(""*"");
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
}",0,
project,0,test1111,"public void test1111() throws Throwable {
    Locale locale0 = Locale.KOREA;
    Element element0 = new Element(""vy"", ""vy"", ""vy"");
    QName qName0 = new QName(""vy"", ""vy"");
    NodePointer nodePointer0 = NodePointer.newNodePointer(qName0, element0, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
}",0,
project,0,test1212,"public void test1212() throws Throwable {
    Locale locale0 = Locale.ITALY;
    Element element0 = new Element(""xml"");
    NodePointer nodePointer0 = NodePointer.newNodePointer((QName) null, element0, locale0);
    QName qName0 = new QName(""xml"", ""http://www.w3.org/2000/xmlns/"");
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
}",0,
project,0,test1313,"public void test1313() throws Throwable {
    Locale locale0 = Locale.CANADA_FRENCH;
    Namespace namespace0 = Namespace.XML_NAMESPACE;
    Element element0 = new Element(""vqm5e"", namespace0);
    QName qName0 = new QName(""*"");
    Element element1 = element0.setAttribute(""vqm5e"", ""*"", namespace0);
    NodePointer nodePointer0 = NodePointer.newNodePointer(qName0, element1, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
}",0,
project,0,test1414,"public void test1414() throws Throwable {
    Locale locale0 = Locale.CANADA_FRENCH;
    Namespace namespace0 = Namespace.NO_NAMESPACE;
    Element element0 = new Element(""vq"", namespace0);
    QName qName0 = new QName(""*"");
    Element element1 = element0.setAttribute(""vq"", ""*"", namespace0);
    NodePointer nodePointer0 = NodePointer.newNodePointer(qName0, element1, locale0);
    JDOMAttributeIterator jDOMAttributeIterator0 = new JDOMAttributeIterator(nodePointer0, qName0);
}",0,
