project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
project,0,test000,0,0,False,"",""
project,0,test011,0,0,False,"",""
project,0,test022,0,0,False,"",""
project,0,test023,0,0,False,"",""
project,0,test034,0,0,False,"",""
project,0,test045,0,0,False,"",""
project,0,test056,0,0,False,"",""
project,0,test067,0,0,False,"",""
project,0,test078,0,0,False,"",""
project,0,test089,0,0,False,"",""
project,0,test0810,0,0,False,"",""
project,0,test0911,0,0,False,"",""
project,0,test1012,0,0,False,"",""
project,0,test1113,0,0,False,"",""
project,0,test1214,0,0,False,"",""
project,0,test1315,0,0,False,"",""
project,0,test1416,0,0,False,"",""
project,0,test1517,0,0,False,"",""
project,0,test1618,0,0,False,"",""
project,0,test1719,0,0,False,"",""
project,0,test1820,0,0,False,"",""
project,0,test1921,0,0,False,"",""
project,0,test2022,0,0,False,"",""
project,0,test2123,0,0,False,"",""
project,0,test2224,0,0,False,"",""
project,0,test2325,0,0,False,"",""
project,0,test2426,0,0,False,"",""
project,0,test2427,0,0,False,"",""
project,0,test2528,0,0,False,"",""
project,0,test2529,0,0,False,"",""
project,0,test2630,0,0,False,"",""
project,0,test2731,0,0,False,"",""
project,0,test2832,0,0,False,"",""
project,0,test2933,0,0,False,"",""
project,0,test3034,0,0,False,"",""
project,0,test3135,0,0,False,"",""
project,0,test3236,0,0,False,"",""
project,0,test3237,0,0,False,"",""
project,0,test3338,0,0,False,"",""
project,0,test3439,0,0,False,"",""
project,0,test3440,0,0,False,"",""
project,0,test3541,0,0,False,"",""
project,0,test3542,0,0,False,"",""
project,0,test3643,0,0,False,"",""
project,0,test3744,0,0,False,"",""
project,0,test3845,0,0,False,"",""
project,0,test3946,0,0,False,"",""
project,0,test4047,0,0,False,"",""
project,0,test4148,0,0,False,"",""
project,0,test4149,0,0,False,"",""
project,0,test4250,0,0,False,"",""
project,0,test4251,0,0,False,"",""
project,0,test4352,0,0,False,"",""
project,0,test4353,0,0,False,"",""
project,0,test4454,0,0,False,"",""
project,0,test4555,0,0,False,"",""
project,0,test4556,0,0,False,"",""
project,0,test4657,0,0,False,"",""
project,0,test4758,0,0,False,"",""
project,0,test4859,0,0,False,"",""
project,0,test4960,0,0,False,"",""
project,0,test4961,0,0,False,"",""
project,0,test5062,0,0,False,"",""
project,0,test5163,0,0,False,"",""
project,0,test5264,0,0,False,"",""
project,0,test5265,0,0,False,"",""
project,0,test5366,0,0,False,"",""
project,0,test5467,0,0,False,"",""
project,0,test5468,0,0,False,"",""
