project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    CharSequence[][] charSequenceArray0 = new CharSequence[0][3];
    LookupTranslator lookupTranslator0 = new LookupTranslator(charSequenceArray0);
    CharBuffer charBuffer0 = CharBuffer.allocate(0);
    StringWriter stringWriter0 = new StringWriter();
    int int0 = lookupTranslator0.translate((CharSequence) charBuffer0, (-999), (Writer) stringWriter0);
    assertEquals(0, int0);
}",0,"assertEquals(0, int0)"
project,0,test022,"public void test022() throws Throwable {
    NumericEntityEscaper numericEntityEscaper0 = NumericEntityEscaper.outsideOf((-1886), (-1057));
    char[] charArray0 = new char[2];
    CharBuffer charBuffer0 = CharBuffer.wrap(charArray0);
    CharBuffer charBuffer1 = CharBuffer.allocate(2915);
    charBuffer0.read(charBuffer1);
    String string0 = numericEntityEscaper0.translate((CharSequence) charBuffer0);
    assertEquals("""", string0);
}",0,
project,0,test033,"public void test033() throws Throwable {
    OctalUnescaper octalUnescaper0 = new OctalUnescaper();
    // Undeclared exception!
    try {
        octalUnescaper0.with((CharSequenceTranslator[]) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.lang3.text.translate.CharSequenceTranslator"", e);
    }
}",0,
project,0,test044,"public void test044() throws Throwable {
    NumericEntityEscaper numericEntityEscaper0 = NumericEntityEscaper.outsideOf(1, 1);
    CharBuffer charBuffer0 = CharBuffer.allocate(1530);
    String string0 = numericEntityEscaper0.translate((CharSequence) charBuffer0);
    StringWriter stringWriter0 = new StringWriter(42);
    // Undeclared exception!
    numericEntityEscaper0.translate((CharSequence) string0, (Writer) stringWriter0);
}",0,
project,0,test055,"public void test055() throws Throwable {
    CharSequenceTranslator[] charSequenceTranslatorArray0 = new CharSequenceTranslator[3];
    AggregateTranslator aggregateTranslator0 = new AggregateTranslator(charSequenceTranslatorArray0);
    StringWriter stringWriter0 = new StringWriter(43);
    // Undeclared exception!
    try {
        aggregateTranslator0.translate((CharSequence) ""2B"", (Writer) stringWriter0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test066,"public void test066() throws Throwable {
    NumericEntityEscaper numericEntityEscaper0 = NumericEntityEscaper.outsideOf((-478), (-478));
    CharBuffer charBuffer0 = CharBuffer.allocate(65);
    CharBuffer charBuffer1 = CharBuffer.wrap((CharSequence) charBuffer0);
    charBuffer0.compact();
    CharSequenceTranslator[] charSequenceTranslatorArray0 = new CharSequenceTranslator[6];
    CharSequenceTranslator charSequenceTranslator0 = numericEntityEscaper0.with(charSequenceTranslatorArray0);
    StringWriter stringWriter0 = new StringWriter();
    // Undeclared exception!
    try {
        charSequenceTranslator0.translate((CharSequence) charBuffer1, (Writer) stringWriter0);
        fail(""Expecting exception: IndexOutOfBoundsException"");
    } catch (IndexOutOfBoundsException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""java.nio.Buffer"", e);
    }
}",0,
project,0,test077,"public void test077() throws Throwable {
    CharSequenceTranslator[] charSequenceTranslatorArray0 = new CharSequenceTranslator[3];
    NumericEntityEscaper numericEntityEscaper0 = NumericEntityEscaper.above(43);
    charSequenceTranslatorArray0[2] = (CharSequenceTranslator) numericEntityEscaper0;
    StringWriter stringWriter0 = new StringWriter(43);
    // Undeclared exception!
    try {
        charSequenceTranslatorArray0[2].translate((CharSequence) ""2B"", 43, (Writer) stringWriter0);
        fail(""Expecting exception: StringIndexOutOfBoundsException"");
    } catch (StringIndexOutOfBoundsException e) {
    }
}",0,
project,0,test088,"public void test088() throws Throwable {
    NumericEntityEscaper numericEntityEscaper0 = NumericEntityEscaper.above(428);
    // Undeclared exception!
    try {
        numericEntityEscaper0.translate((CharSequence) null, 0, (Writer) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""java.lang.Character"", e);
    }
}",0,
project,0,test099,"public void test099() throws Throwable {
    UnicodeEscaper unicodeEscaper0 = UnicodeEscaper.between(0, 0);
    char[] charArray0 = new char[3];
    CharBuffer charBuffer0 = CharBuffer.wrap(charArray0, 0, 0);
    // Undeclared exception!
    try {
        unicodeEscaper0.translate((CharSequence) charBuffer0, 0, (Writer) null);
        fail(""Expecting exception: IndexOutOfBoundsException"");
    } catch (IndexOutOfBoundsException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""java.nio.Buffer"", e);
    }
}",0,
project,0,test1010,"public void test1010() throws Throwable {
    AggregateTranslator aggregateTranslator0 = new AggregateTranslator((CharSequenceTranslator[]) null);
    CharBuffer charBuffer0 = CharBuffer.allocate(852);
    // Undeclared exception!
    try {
        aggregateTranslator0.translate((CharSequence) charBuffer0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test1212,"public void test1212() throws Throwable {
    UnicodeEscaper unicodeEscaper0 = UnicodeEscaper.outsideOf(3457, 3457);
    CharSequenceTranslator[] charSequenceTranslatorArray0 = new CharSequenceTranslator[1];
    CharSequenceTranslator charSequenceTranslator0 = unicodeEscaper0.with(charSequenceTranslatorArray0);
    CharBuffer charBuffer0 = CharBuffer.allocate(3457);
    StringWriter stringWriter0 = new StringWriter(3457);
    charSequenceTranslator0.translate((CharSequence) charBuffer0, (Writer) stringWriter0);
    NumericEntityUnescaper.OPTION[] numericEntityUnescaper_OPTIONArray0 = new NumericEntityUnescaper.OPTION[0];
    NumericEntityUnescaper numericEntityUnescaper0 = new NumericEntityUnescaper(numericEntityUnescaper_OPTIONArray0);
    String string0 = numericEntityUnescaper0.translate((CharSequence) charBuffer0);
    assertNotNull(string0);
}",0,
project,0,test1414,"public void test1414() throws Throwable {
    OctalUnescaper octalUnescaper0 = new OctalUnescaper();
    String string0 = octalUnescaper0.translate((CharSequence) null);
    assertNull(string0);
}",0,assertNotNull(string0)
project,0,test1515,"public void test1515() throws Throwable {
    OctalUnescaper octalUnescaper0 = new OctalUnescaper();
    CharSequenceTranslator[] charSequenceTranslatorArray0 = new CharSequenceTranslator[1];
    CharSequenceTranslator charSequenceTranslator0 = octalUnescaper0.with(charSequenceTranslatorArray0);
    // Undeclared exception!
    try {
        charSequenceTranslator0.translate((CharSequence) ""FFFFFF5B"", (Writer) null);
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // The Writer must not be null
        //
        verifyException(""org.apache.commons.lang3.text.translate.CharSequenceTranslator"", e);
    }
}",0,
project,0,test1616,"public void test1616() throws Throwable {
    String string0 = CharSequenceTranslator.hex(1157);
    assertEquals(""485"", string0);
}",0,assertNotNull(string0)
