project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    String[][] stringArray0 = new String[0][0];
    String[][] stringArray1 = EntityArrays.invert(stringArray0);
    assertNotSame(stringArray1, stringArray0);
}",0,
project,0,test011,"public void test011() throws Throwable {
    // Undeclared exception!
    try {
        EntityArrays.invert((String[][]) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.lang3.text.translate.EntityArrays"", e);
    }
}",0,
project,0,test022,"public void test022() throws Throwable {
    String[][] stringArray0 = new String[8][1];
    // Undeclared exception!
    try {
        EntityArrays.invert(stringArray0);
        fail(""Expecting exception: ArrayIndexOutOfBoundsException"");
    } catch (ArrayIndexOutOfBoundsException e) {
        //
        // 1
        //
        verifyException(""org.apache.commons.lang3.text.translate.EntityArrays"", e);
    }
}",0,
project,0,test033,"public void test033() throws Throwable {
    String[][] stringArray0 = EntityArrays.JAVA_CTRL_CHARS_UNESCAPE();
    assertEquals(5, stringArray0.length);
}",0,
project,0,test044,"public void test044() throws Throwable {
    String[][] stringArray0 = EntityArrays.HTML40_EXTENDED_ESCAPE();
    assertEquals(151, stringArray0.length);
}",0,
project,0,test055,"public void test055() throws Throwable {
    String[][] stringArray0 = EntityArrays.ISO8859_1_UNESCAPE();
    assertEquals(96, stringArray0.length);
}",0,
project,0,test066,"public void test066() throws Throwable {
    String[][] stringArray0 = EntityArrays.APOS_ESCAPE();
    assertEquals(1, stringArray0.length);
}",0,
project,0,test088,"public void test088() throws Throwable {
    String[][] stringArray0 = EntityArrays.HTML40_EXTENDED_UNESCAPE();
    String[][] stringArray1 = EntityArrays.invert(stringArray0);
    assertNotSame(stringArray1, stringArray0);
}",0,
project,0,test099,"public void test099() throws Throwable {
    String[][] stringArray0 = EntityArrays.ISO8859_1_ESCAPE();
    assertEquals(96, stringArray0.length);
}",0,
project,0,test1010,"public void test1010() throws Throwable {
    String[][] stringArray0 = EntityArrays.APOS_UNESCAPE();
    assertEquals(1, stringArray0.length);
}",0,
project,0,test1111,"public void test1111() throws Throwable {
    String[][] stringArray0 = EntityArrays.BASIC_UNESCAPE();
    assertEquals(4, stringArray0.length);
}",0,
project,0,test1212,"public void test1212() throws Throwable {
    String[][] stringArray0 = EntityArrays.JAVA_CTRL_CHARS_ESCAPE();
    assertEquals(5, stringArray0.length);
}",0,
project,0,test1313,"public void test1313() throws Throwable {
    String[][] stringArray0 = EntityArrays.BASIC_ESCAPE();
    assertEquals(4, stringArray0.length);
}",0,
