project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
project,0,test000,0,0,False,"",""
project,0,test011,0,0,False,"",""
project,0,test022,0,0,False,"",""
project,0,test033,0,0,False,"",""
project,0,test044,0,0,False,"",""
project,0,test055,0,0,False,"",""
project,0,test066,0,0,False,"",""
project,0,test067,0,0,False,"",""
project,0,test068,0,0,False,"",""
project,0,test079,0,0,False,"",""
project,0,test0810,0,0,False,"",""
project,0,test0911,0,0,False,"",""
project,0,test1012,0,0,False,"",""
project,0,test1113,0,0,False,"",""
project,0,test1214,0,0,False,"",""
project,0,test1315,0,0,False,"",""
project,0,test1416,0,0,False,"",""
project,0,test1417,0,0,False,"",""
project,0,test1518,0,0,False,"",""
project,0,test1619,0,0,False,"",""
project,0,test1720,0,0,False,"",""
project,0,test1821,0,0,False,"",""
project,0,test1922,0,0,False,"",""
project,0,test2023,0,0,False,"",""
project,0,test2124,0,0,False,"",""
project,0,test2225,0,0,False,"",""
project,0,test2326,0,0,False,"",""
project,0,test2427,0,0,False,"",""
project,0,test2528,0,0,False,"",""
project,0,test2629,0,0,False,"",""
project,0,test2730,0,0,False,"",""
project,0,test2831,0,0,False,"",""
project,0,test2932,0,0,False,"",""
project,0,test3033,0,0,False,"",""
project,0,test3134,0,0,False,"",""
project,0,test3235,0,0,False,"",""
project,0,test3336,0,0,False,"",""
project,0,test3437,0,0,False,"",""
project,0,test3538,0,0,False,"",""
project,0,test3639,0,0,False,"",""
project,0,test3740,0,0,False,"",""
project,0,test3841,0,0,False,"",""
project,0,test3942,0,0,False,"",""
