project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
project,0,test00,0,0,False,"",""
project,0,test01,0,0,False,"",""
project,0,test12,0,0,False,"",""
project,0,test13,0,0,False,"",""
project,0,test14,0,0,False,"",""
project,0,test15,0,0,False,"",""
project,0,test16,0,0,False,"",""
project,0,test17,0,0,False,"",""
project,0,test28,0,0,False,"",""
project,0,test29,0,0,False,"",""
project,0,test210,0,0,False,"",""
project,0,test311,0,0,False,"",""
project,0,test312,0,0,False,"",""
project,0,test313,0,0,False,"",""
project,0,test414,0,0,False,"",""
project,0,test515,0,0,False,"",""
project,0,test516,0,0,False,"",""
project,0,test517,0,0,False,"",""
project,0,test618,0,0,False,"",""
project,0,test619,0,0,False,"",""
project,0,test720,0,0,False,"",""
project,0,test721,0,0,False,"",""
project,0,test822,0,0,False,"",""
