project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    PegasusSolver pegasusSolver0 = new PegasusSolver(1785.980494615, 227.421396);
    Ceil ceil0 = new Ceil();
    AllowedSolution allowedSolution0 = AllowedSolution.BELOW_SIDE;
    double double0 = pegasusSolver0.solve(1024, (UnivariateRealFunction) ceil0, (-4088.1339917), (double) 1024, allowedSolution0);
    assertEquals((-1532.0669958499998), pegasusSolver0.getStartValue(), 0.01);
}",0,
project,0,test001,"public void test001() throws Throwable {
    PegasusSolver pegasusSolver0 = new PegasusSolver(1785.980494615, 227.421396);
    Ceil ceil0 = new Ceil();
    AllowedSolution allowedSolution0 = AllowedSolution.BELOW_SIDE;
    double double0 = pegasusSolver0.solve(1024, (UnivariateRealFunction) ceil0, (-4088.1339917), (double) 1024, allowedSolution0);
    assertEquals((-0.026840277934297774), double0, 0.01);
}",0,
project,0,test012,"public void test012() throws Throwable {
    IllinoisSolver illinoisSolver0 = new IllinoisSolver((-6723.93));
    Abs abs0 = new Abs();
    double double0 = illinoisSolver0.solve(414, (UnivariateRealFunction) abs0, 0.15623792920103693, 0.0);
    assertEquals(0.07811896460051847, illinoisSolver0.getStartValue(), 0.01);
}",0,
project,0,test013,"public void test013() throws Throwable {
    IllinoisSolver illinoisSolver0 = new IllinoisSolver((-6723.93));
    Abs abs0 = new Abs();
    double double0 = illinoisSolver0.solve(414, (UnivariateRealFunction) abs0, 0.15623792920103693, 0.0);
    assertEquals(0.0, double0, 0.01);
}",0,
project,0,test024,"public void test024() throws Throwable {
    IllinoisSolver illinoisSolver0 = new IllinoisSolver((-864.2), (-2125.2));
    Log1p log1p0 = new Log1p();
    AllowedSolution allowedSolution0 = AllowedSolution.RIGHT_SIDE;
    double double0 = illinoisSolver0.solve(2, (UnivariateRealFunction) log1p0, 0.0, (double) 2, 2012.456450328, allowedSolution0);
    assertEquals(2012.456450328, illinoisSolver0.getStartValue(), 0.01);
}",0,
project,0,test025,"public void test025() throws Throwable {
    IllinoisSolver illinoisSolver0 = new IllinoisSolver((-864.2), (-2125.2));
    Log1p log1p0 = new Log1p();
    AllowedSolution allowedSolution0 = AllowedSolution.RIGHT_SIDE;
    double double0 = illinoisSolver0.solve(2, (UnivariateRealFunction) log1p0, 0.0, (double) 2, 2012.456450328, allowedSolution0);
    assertEquals(0.0, double0, 0.01);
}",0,
project,0,test036,"public void test036() throws Throwable {
    PegasusSolver pegasusSolver0 = new PegasusSolver();
    Gaussian gaussian0 = new Gaussian();
    AllowedSolution allowedSolution0 = AllowedSolution.BELOW_SIDE;
    double double0 = pegasusSolver0.solve(215, (UnivariateRealFunction) gaussian0, (-219.1901488425366), (-219.1901488425366), (double) 215, allowedSolution0);
    assertEquals(215.0, pegasusSolver0.getStartValue(), 0.01);
}",0,
project,0,test037,"public void test037() throws Throwable {
    PegasusSolver pegasusSolver0 = new PegasusSolver();
    Gaussian gaussian0 = new Gaussian();
    AllowedSolution allowedSolution0 = AllowedSolution.BELOW_SIDE;
    double double0 = pegasusSolver0.solve(215, (UnivariateRealFunction) gaussian0, (-219.1901488425366), (-219.1901488425366), (double) 215, allowedSolution0);
    assertEquals((-219.1901488425366), double0, 0.01);
}",0,
project,0,test048,"public void test048() throws Throwable {
    PegasusSolver pegasusSolver0 = new PegasusSolver();
    Gaussian gaussian0 = new Gaussian((-7.650976138217585), 25);
    UnivariateRealFunction univariateRealFunction0 = gaussian0.derivative();
    double double0 = pegasusSolver0.solve(25, univariateRealFunction0, (-808.9), (double) 25, (-7.650976138217585));
    assertEquals((-7.650976138217585), pegasusSolver0.getStartValue(), 0.01);
}",0,
project,0,test049,"public void test049() throws Throwable {
    PegasusSolver pegasusSolver0 = new PegasusSolver();
    Gaussian gaussian0 = new Gaussian((-7.650976138217585), 25);
    UnivariateRealFunction univariateRealFunction0 = gaussian0.derivative();
    double double0 = pegasusSolver0.solve(25, univariateRealFunction0, (-808.9), (double) 25, (-7.650976138217585));
    assertEquals((-808.8999999999999), double0, 0.01);
}",0,
project,0,test0510,"public void test0510() throws Throwable {
    RegulaFalsiSolver regulaFalsiSolver0 = new RegulaFalsiSolver(1.176342548272881E-8, 1.176342548272881E-8);
    HarmonicOscillator harmonicOscillator0 = new HarmonicOscillator(1.176342548272881E-8, 0.0, 1.176342548272881E-8);
    UnivariateRealFunction univariateRealFunction0 = harmonicOscillator0.derivative();
    regulaFalsiSolver0.solve(62, univariateRealFunction0, 0.0, 0.0, 0.0);
    double double0 = regulaFalsiSolver0.doSolve();
    assertEquals(0.0, regulaFalsiSolver0.getStartValue(), 0.01);
}",0,
project,0,test0511,"public void test0511() throws Throwable {
    RegulaFalsiSolver regulaFalsiSolver0 = new RegulaFalsiSolver(1.176342548272881E-8, 1.176342548272881E-8);
    HarmonicOscillator harmonicOscillator0 = new HarmonicOscillator(1.176342548272881E-8, 0.0, 1.176342548272881E-8);
    UnivariateRealFunction univariateRealFunction0 = harmonicOscillator0.derivative();
    regulaFalsiSolver0.solve(62, univariateRealFunction0, 0.0, 0.0, 0.0);
    double double0 = regulaFalsiSolver0.doSolve();
    assertEquals(0.0, double0, 0.01);
}",0,
project,0,test0512,"public void test0512() throws Throwable {
    RegulaFalsiSolver regulaFalsiSolver0 = new RegulaFalsiSolver(1.176342548272881E-8, 1.176342548272881E-8);
    HarmonicOscillator harmonicOscillator0 = new HarmonicOscillator(1.176342548272881E-8, 0.0, 1.176342548272881E-8);
    UnivariateRealFunction univariateRealFunction0 = harmonicOscillator0.derivative();
    regulaFalsiSolver0.solve(62, univariateRealFunction0, 0.0, 0.0, 0.0);
    double double0 = regulaFalsiSolver0.doSolve();
    assertEquals(0.0, regulaFalsiSolver0.getMax(), 0.01);
}",0,
project,0,test0613,"public void test0613() throws Throwable {
    PegasusSolver pegasusSolver0 = new PegasusSolver(0.0);
    Gaussian gaussian0 = new Gaussian(0.0, 2719.82);
    UnivariateRealFunction univariateRealFunction0 = gaussian0.derivative();
    AllowedSolution allowedSolution0 = AllowedSolution.ANY_SIDE;
    pegasusSolver0.solve(8, univariateRealFunction0, (-1.504961346353674E-8), 2608.0, allowedSolution0);
    double double0 = pegasusSolver0.doSolve();
    assertEquals(1303.999999992475, pegasusSolver0.getStartValue(), 0.01);
}",0,
project,0,test0614,"public void test0614() throws Throwable {
    PegasusSolver pegasusSolver0 = new PegasusSolver(0.0);
    Gaussian gaussian0 = new Gaussian(0.0, 2719.82);
    UnivariateRealFunction univariateRealFunction0 = gaussian0.derivative();
    AllowedSolution allowedSolution0 = AllowedSolution.ANY_SIDE;
    pegasusSolver0.solve(8, univariateRealFunction0, (-1.504961346353674E-8), 2608.0, allowedSolution0);
    double double0 = pegasusSolver0.doSolve();
    assertEquals(8.784354577073827E-9, double0, 0.01);
}",0,
