project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    SimpleValueChecker simpleValueChecker0 = new SimpleValueChecker((-2680), (-2680));
    CMAESOptimizer cMAESOptimizer0 = new CMAESOptimizer((-2680), (-2680), false, (-2680), (-2680), (RandomGenerator) null, false, simpleValueChecker0);
}",0,
project,0,test033,"public void test033() throws Throwable {
    SimpleValueChecker simpleValueChecker0 = new SimpleValueChecker((-2680), (-2680));
    CMAESOptimizer cMAESOptimizer0 = new CMAESOptimizer((-2680), (-2680), true, (-2680), (-2680), (RandomGenerator) null, true, simpleValueChecker0);
    OptimizationData[] optimizationDataArray0 = new OptimizationData[0];
    cMAESOptimizer0.parseOptimizationData(optimizationDataArray0);
}",0,
project,0,test044,"public void test044() throws Throwable {
    double[] doubleArray0 = new double[7];
    CMAESOptimizer.Sigma cMAESOptimizer_Sigma0 = new CMAESOptimizer.Sigma(doubleArray0);
    ISAACRandom iSAACRandom0 = new ISAACRandom();
    CMAESOptimizer cMAESOptimizer0 = new CMAESOptimizer(3856, 3856, true, 3856, 3856, iSAACRandom0, true, (ConvergenceChecker<PointValuePair>) null);
    OptimizationData[] optimizationDataArray0 = new OptimizationData[3];
    optimizationDataArray0[0] = (OptimizationData) cMAESOptimizer_Sigma0;
    cMAESOptimizer0.optimize(optimizationDataArray0);
    cMAESOptimizer0.doOptimize();
}",0,
project,0,test055,"public void test055() throws Throwable {
    SimpleValueChecker simpleValueChecker0 = new SimpleValueChecker(419, 419);
    CMAESOptimizer cMAESOptimizer0 = new CMAESOptimizer(419, 419, true, 419, 419, (RandomGenerator) null, true, simpleValueChecker0);
    OptimizationData[] optimizationDataArray0 = new OptimizationData[1];
    cMAESOptimizer0.parseOptimizationData(optimizationDataArray0);
}",0,
project,0,test066,"public void test066() throws Throwable {
    SimpleValueChecker simpleValueChecker0 = new SimpleValueChecker(393, 393);
    CMAESOptimizer cMAESOptimizer0 = new CMAESOptimizer(393, 393, false, 393, 393, (RandomGenerator) null, false, simpleValueChecker0);
    OptimizationData[] optimizationDataArray0 = new OptimizationData[1];
    CMAESOptimizer.PopulationSize cMAESOptimizer_PopulationSize0 = new CMAESOptimizer.PopulationSize(393);
    optimizationDataArray0[0] = (OptimizationData) cMAESOptimizer_PopulationSize0;
    cMAESOptimizer0.parseOptimizationData(optimizationDataArray0);
}",0,
project,0,test077,"public void test077() throws Throwable {
    Well44497a well44497a0 = new Well44497a(2019);
    SimplePointChecker<PointValuePair> simplePointChecker0 = new SimplePointChecker<PointValuePair>(2019, 2019, 2019);
    CMAESOptimizer cMAESOptimizer0 = new CMAESOptimizer(2019, 2019, true, 2019, 2019, well44497a0, true, simplePointChecker0);
    cMAESOptimizer0.getStatisticsFitnessHistory();
}",0,
project,0,test1010,"public void test1010() throws Throwable {
    Well44497a well44497a0 = new Well44497a(2019);
    SimplePointChecker<PointValuePair> simplePointChecker0 = new SimplePointChecker<PointValuePair>(2019, 2019, 2019);
    CMAESOptimizer cMAESOptimizer0 = new CMAESOptimizer(2019, 2019, true, 2019, 2019, well44497a0, true, simplePointChecker0);
    cMAESOptimizer0.getStatisticsDHistory();
}",0,
project,0,test1111,"public void test1111() throws Throwable {
    Well44497a well44497a0 = new Well44497a();
    SimplePointChecker<PointValuePair> simplePointChecker0 = new SimplePointChecker<PointValuePair>(2019, 2019, 2019);
    CMAESOptimizer cMAESOptimizer0 = new CMAESOptimizer(2019, 2019, true, 2019, 2019, well44497a0, true, simplePointChecker0);
    cMAESOptimizer0.getStatisticsMeanHistory();
}",0,
project,0,test1212,"public void test1212() throws Throwable {
    double[] doubleArray0 = new double[0];
    CMAESOptimizer.Sigma cMAESOptimizer_Sigma0 = new CMAESOptimizer.Sigma(doubleArray0);
    ISAACRandom iSAACRandom0 = new ISAACRandom(2021);
    CMAESOptimizer cMAESOptimizer0 = new CMAESOptimizer(2021, 2021, true, 2021, 2021, iSAACRandom0, true, (ConvergenceChecker<PointValuePair>) null);
    InitialGuess initialGuess0 = new InitialGuess(doubleArray0);
    OptimizationData[] optimizationDataArray0 = new OptimizationData[8];
    optimizationDataArray0[1] = (OptimizationData) cMAESOptimizer_Sigma0;
    optimizationDataArray0[2] = (OptimizationData) initialGuess0;
    cMAESOptimizer0.parseOptimizationData(optimizationDataArray0);
}",0,
project,0,test1313,"public void test1313() throws Throwable {
    double[] doubleArray0 = new double[1];
    CMAESOptimizer.Sigma cMAESOptimizer_Sigma0 = new CMAESOptimizer.Sigma(doubleArray0);
    ISAACRandom iSAACRandom0 = new ISAACRandom(2021);
    CMAESOptimizer cMAESOptimizer0 = new CMAESOptimizer(2021, 2021, true, 2021, 2021, iSAACRandom0, true, (ConvergenceChecker<PointValuePair>) null);
    InitialGuess initialGuess0 = new InitialGuess(doubleArray0);
    OptimizationData[] optimizationDataArray0 = new OptimizationData[8];
    optimizationDataArray0[1] = (OptimizationData) cMAESOptimizer_Sigma0;
    optimizationDataArray0[2] = (OptimizationData) initialGuess0;
    cMAESOptimizer0.parseOptimizationData(optimizationDataArray0);
}",0,
