project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
project,0,test000,0,0,False,"",""
project,0,test001,0,0,False,"",""
project,0,test012,0,0,False,"",""
project,0,test013,0,0,False,"",""
project,0,test024,0,0,False,"",""
project,0,test035,0,0,False,"",""
project,0,test036,0,0,False,"",""
project,0,test037,0,0,False,"",""
project,0,test048,0,0,False,"",""
project,0,test049,0,0,False,"",""
project,0,test0510,0,0,False,"",""
project,0,test0511,0,0,False,"",""
project,0,test0612,0,0,False,"",""
project,0,test0613,0,0,False,"",""
project,0,test0614,0,0,False,"",""
project,0,test0715,0,0,False,"",""
project,0,test0716,0,0,False,"",""
project,0,test0817,0,0,False,"",""
project,0,test0818,0,0,False,"",""
project,0,test0819,0,0,False,"",""
project,0,test0920,0,0,False,"",""
project,0,test0921,0,0,False,"",""
project,0,test1022,0,0,False,"",""
project,0,test1023,0,0,False,"",""
project,0,test1124,0,0,False,"",""
project,0,test1225,0,0,False,"",""
project,0,test1226,0,0,False,"",""
project,0,test1327,0,0,False,"",""
project,0,test1328,0,0,False,"",""
project,0,test1329,0,0,False,"",""
project,0,test1430,0,0,False,"",""
project,0,test1531,0,0,False,"",""
project,0,test1532,0,0,False,"",""
project,0,test1633,0,0,False,"",""
project,0,test1634,0,0,False,"",""
project,0,test1735,0,0,False,"",""
project,0,test1736,0,0,False,"",""
project,0,test1837,0,0,False,"",""
project,0,test1838,0,0,False,"",""
project,0,test1839,0,0,False,"",""
project,0,test1940,0,0,False,"",""
project,0,test1941,0,0,False,"",""
project,0,test1942,0,0,False,"",""
project,0,test2043,0,0,False,"",""
project,0,test2144,0,0,False,"",""
project,0,test2245,0,0,False,"",""
project,0,test2346,0,0,False,"",""
project,0,test2447,0,0,False,"",""
project,0,test2548,0,0,False,"",""
project,0,test2549,0,0,False,"",""
project,0,test2650,0,0,False,"",""
project,0,test2751,0,0,False,"",""
project,0,test2752,0,0,False,"",""
project,0,test2753,0,0,False,"",""
project,0,test2854,0,0,False,"",""
project,0,test2855,0,0,False,"",""
project,0,test2856,0,0,False,"",""
project,0,test2957,0,0,False,"",""
project,0,test3058,0,0,False,"",""
project,0,test3159,0,0,False,"",""
project,0,test3160,0,0,False,"",""
project,0,test3261,0,0,False,"",""
project,0,test3262,0,0,False,"",""
project,0,test3263,0,0,False,"",""
project,0,test3364,0,0,False,"",""
project,0,test3365,0,0,False,"",""
project,0,test3466,0,0,False,"",""
project,0,test3467,0,0,False,"",""
