project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
project,0,test000,0,0,False,"",""
project,0,test011,0,0,False,"",""
project,0,test012,0,0,False,"",""
project,0,test023,0,0,False,"",""
project,0,test024,0,0,False,"",""
project,0,test035,0,0,False,"",""
project,0,test036,0,0,False,"",""
project,0,test047,0,0,False,"",""
project,0,test058,0,0,False,"",""
project,0,test069,0,0,False,"",""
project,0,test0710,0,0,False,"",""
project,0,test0811,0,0,False,"",""
project,0,test0912,0,0,False,"",""
project,0,test1013,0,0,False,"",""
project,0,test1114,0,0,False,"",""
project,0,test1115,0,0,False,"",""
project,0,test1216,0,0,False,"",""
project,0,test1217,0,0,False,"",""
project,0,test1318,0,0,False,"",""
project,0,test1419,0,0,False,"",""
project,0,test1420,0,0,False,"",""
project,0,test1521,0,0,False,"",""
project,0,test1622,0,0,False,"",""
project,0,test1623,0,0,False,"",""
project,0,test1724,0,0,False,"",""
project,0,test1825,0,0,False,"",""
project,0,test1826,0,0,False,"",""
project,0,test1927,0,0,False,"",""
project,0,test2028,0,0,False,"",""
project,0,test2029,0,0,False,"",""
project,0,test2130,0,0,False,"",""
project,0,test2131,0,0,False,"",""
project,0,test2232,0,0,False,"",""
project,0,test2333,0,0,False,"",""
