project,bug_num,test_name,exception_bug,assertion_bug,exception_lbl,assertion_lbl,assert_err
project,0,test0055,0,0,False,"",""
project,0,test0077,0,0,False,"",""
project,0,test03030,0,0,False,"",""
project,0,test03131,0,0,False,"",""
project,0,test03232,0,0,False,"",""
project,0,test03333,0,0,False,"",""
project,0,test03434,0,0,False,"",""
project,0,test03535,0,0,False,"",""
project,0,test03636,0,0,False,"",""
project,0,test03737,0,0,False,"",""
project,0,test03838,0,0,False,"",""
project,0,test04040,0,0,False,"",""
project,0,test04545,0,0,False,"",""
project,0,test04848,0,0,False,"",""
project,0,test04849,0,0,False,"",""
project,0,test04950,0,0,False,"",""
project,0,test05051,0,0,False,"",""
project,0,test05152,0,0,False,"",""
project,0,test06971,0,0,False,"",""
project,0,test07072,0,0,False,"",""
project,0,test07173,0,0,False,"",""
project,0,test07274,0,0,False,"",""
project,0,test07375,0,0,False,"",""
project,0,test07476,0,0,False,"",""
project,0,test07577,0,0,False,"",""
project,0,test07678,0,0,False,"",""
project,0,test07779,0,0,False,"",""
project,0,test07880,0,0,False,"",""
project,0,test07981,0,0,False,"",""
project,0,test08082,0,0,False,"",""
project,0,test08183,0,0,False,"",""
project,0,test08284,0,0,False,"",""
project,0,test08385,0,0,False,"",""
project,0,test08486,0,0,False,"",""
project,0,test08689,0,0,False,"",""
project,0,test08790,0,0,False,"",""
project,0,test08891,0,0,False,"",""
project,0,test08892,0,0,False,"",""
project,0,test08993,0,0,False,"",""
project,0,test09094,0,0,False,"",""
project,0,test09195,0,0,False,"",""
project,0,test09296,0,0,False,"",""
project,0,test09397,0,0,False,"",""
project,0,test09599,0,0,False,"",""
project,0,test096100,0,0,False,"",""
project,0,test097101,0,0,False,"",""
project,0,test098102,0,0,False,"",""
project,0,test099103,0,0,False,"",""
project,0,test100104,0,0,False,"",""
project,0,test101105,0,0,False,"",""
project,0,test102106,0,0,False,"",""
project,0,test103109,0,0,False,"",""
project,0,test104110,0,0,False,"",""
project,0,test105111,0,0,False,"",""
project,0,test105112,0,0,False,"",""
project,0,test106113,0,0,False,"",""
project,0,test107114,0,0,False,"",""
project,0,test108115,0,0,False,"",""
project,0,test109116,0,0,False,"",""
project,0,test110117,0,0,False,"",""
project,0,test113120,0,0,False,"",""
project,0,test113121,0,0,False,"",""
