project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test0000,"public void test0000() throws Throwable {
    DateTimeFormatterBuilder.TimeZoneName dateTimeFormatterBuilder_TimeZoneName0 = new DateTimeFormatterBuilder.TimeZoneName(0, (Map<String, DateTimeZone>) null);
    DateTimeFormatter dateTimeFormatter0 = new DateTimeFormatter(dateTimeFormatterBuilder_TimeZoneName0, dateTimeFormatterBuilder_TimeZoneName0);
    dateTimeFormatter0.getPivotYear();
    UTCProvider uTCProvider0 = new UTCProvider();
    ZoneId.getAvailableZoneIds();
    StringWriter stringWriter0 = new StringWriter(2275);
    stringWriter0.append('O');
    MutableDateTime.now();
    dateTimeFormatter0.parseMutableDateTime(""O-Y1EtX /r)6t63A1{I"");
    dateTimeFormatter0.withZoneUTC();
    String string0 = """";
    LocalTime localTime0 = dateTimeFormatter0.parseLocalTime(string0);
    dateTimeFormatter0.printTo((Appendable) stringWriter0, (ReadablePartial) localTime0);
    // Undeclared exception!
    try {
        dateTimeFormatter0.getChronolgy();
        fail(""Expecting exception: IllegalArgumentException"");
    } catch (IllegalArgumentException e) {
        //
        // Invalid format: \""O-Y1EtX /r)6t63A1{I\""
        //
        verifyException(""org.joda.time.format.DateTimeFormatter"", e);
    }
}",0,
project,0,test0033,"public void test0033() throws Throwable {
    DateTimeFormatterBuilder.CharacterLiteral dateTimeFormatterBuilder_CharacterLiteral0 = new DateTimeFormatterBuilder.CharacterLiteral('.');
    DateTimeFormatter dateTimeFormatter0 = new DateTimeFormatter(dateTimeFormatterBuilder_CharacterLiteral0, dateTimeFormatterBuilder_CharacterLiteral0);
    FixedDateTimeZone fixedDateTimeZone0 = (FixedDateTimeZone) DateTimeZone.UTC;
    DateTimeFormatter dateTimeFormatter1 = dateTimeFormatter0.withOffsetParsed();
    DateTimeFormatter dateTimeFormatter2 = dateTimeFormatter1.withZoneUTC();
    DateTimeFormatter dateTimeFormatter3 = dateTimeFormatter2.withOffsetParsed();
    Integer integer0 = new Integer(3);
    DateTimeFormatter dateTimeFormatter4 = dateTimeFormatter3.withPivotYear(integer0);
    DateTimeFormatter dateTimeFormatter5 = dateTimeFormatter4.withChronology((Chronology) null);
    DateTimeUtils.MillisProvider dateTimeUtils_MillisProvider0 = mock(DateTimeUtils.MillisProvider.class, new ViolatedAssumptionAnswer());
    DateTimeUtils.setCurrentMillisProvider(dateTimeUtils_MillisProvider0);
    dateTimeFormatter5.withZone(fixedDateTimeZone0);
    dateTimeFormatter5.isPrinter();
}",0,
project,0,test0044,"public void test0044() throws Throwable {
    DateTimeFieldType[] dateTimeFieldTypeArray0 = new DateTimeFieldType[6];
    DateTimeFieldType dateTimeFieldType0 = DateTimeFieldType.millisOfSecond();
    dateTimeFieldTypeArray0[0] = dateTimeFieldType0;
    dateTimeFieldTypeArray0[1] = dateTimeFieldType0;
    DateTimeFieldType dateTimeFieldType1 = DateTimeFieldType.monthOfYear();
    dateTimeFieldTypeArray0[2] = dateTimeFieldType1;
    dateTimeFieldTypeArray0[3] = dateTimeFieldType0;
    BuddhistChronology buddhistChronology0 = BuddhistChronology.getInstanceUTC();
    DurationField durationField0 = buddhistChronology0.hours();
    UnsupportedDateTimeField unsupportedDateTimeField0 = UnsupportedDateTimeField.getInstance(dateTimeFieldType0, durationField0);
    DateTimeFieldType dateTimeFieldType2 = unsupportedDateTimeField0.getType();
    dateTimeFieldTypeArray0[4] = dateTimeFieldType2;
    DateTimeFieldType dateTimeFieldType3 = DateTimeFieldType.hourOfDay();
    dateTimeFieldTypeArray0[5] = dateTimeFieldType3;
    int[] intArray0 = new int[3];
    FileSystemHandling.shouldAllThrowIOExceptions();
    FileSystemHandling.shouldAllThrowIOExceptions();
    intArray0[0] = 1;
    intArray0[1] = 1;
    intArray0[2] = 1;
    DateTimeFormat.StyleFormatter dateTimeFormat_StyleFormatter0 = new DateTimeFormat.StyleFormatter(1, 1, (-1));
    DateTimeFormatter dateTimeFormatter0 = new DateTimeFormatter(dateTimeFormat_StyleFormatter0, dateTimeFormat_StyleFormatter0);
    Integer integer0 = new Integer((-2145318844));
    DateTimeFormatter dateTimeFormatter1 = dateTimeFormatter0.withPivotYear(integer0);
    DateTimeFormatter dateTimeFormatter2 = dateTimeFormatter1.withDefaultYear(1);
    DateTimeFormatter dateTimeFormatter3 = dateTimeFormatter2.withZoneUTC();
    DateTimeFormatter dateTimeFormatter4 = dateTimeFormatter3.withChronology(buddhistChronology0);
    Locale locale0 = Locale.CANADA;
    FileSystemHandling fileSystemHandling0 = new FileSystemHandling();
    Integer.sum(1, (-1408));
    DateTimeFormatter dateTimeFormatter5 = dateTimeFormatter4.withLocale((Locale) null);
    dateTimeFormatter5.print((ReadablePartial) null);
    Partial partial0 = new Partial(dateTimeFieldTypeArray0, intArray0, buddhistChronology0);
    dateTimeFormatter3.withPivotYear(intArray0[0]);
}",0,
project,0,test0055,"public void test0055() throws Throwable {
    FileSystemHandling.appendLineToFile((EvoSuiteFile) null, ""Instant must not be null"");
    DateTimeFieldType dateTimeFieldType0 = DateTimeFieldType.halfdayOfDay();
    DateTimeFormatterBuilder.Fraction dateTimeFormatterBuilder_Fraction0 = new DateTimeFormatterBuilder.Fraction(dateTimeFieldType0, 2000, 2000);
    DateTimeFormatter dateTimeFormatter0 = new DateTimeFormatter(dateTimeFormatterBuilder_Fraction0, dateTimeFormatterBuilder_Fraction0);
    DateTimeFormatter dateTimeFormatter1 = dateTimeFormatter0.withDefaultYear(2147483573);
    CopticChronology copticChronology0 = CopticChronology.getInstance();
    DateTimeFormatter dateTimeFormatter2 = dateTimeFormatter1.withChronology(copticChronology0);
    ZoneOffset zoneOffset0 = ZoneOffset.MIN;
    TimeZone timeZone0 = TimeZone.getTimeZone((ZoneId) zoneOffset0);
    DateTimeZone dateTimeZone0 = DateTimeZone.forTimeZone(timeZone0);
    copticChronology0.withZone(dateTimeZone0);
    dateTimeFormatter2.withZoneUTC();
    DateTimeFormatter dateTimeFormatter3 = dateTimeFormatter0.withPivotYear((Integer) null);
    dateTimeFormatter3.printTo((Writer) null, (ReadableInstant) null);
    dateTimeFormatter0.withChronology(copticChronology0);
    dateTimeFormatter0.getParser();
}",0,
project,0,test0066,"public void test0066() throws Throwable {
    FileSystemHandling.appendLineToFile((EvoSuiteFile) null, ""Instant must not be null"");
    DateTimeFieldType dateTimeFieldType0 = DateTimeFieldType.halfdayOfDay();
    DateTimeFormatterBuilder.Fraction dateTimeFormatterBuilder_Fraction0 = new DateTimeFormatterBuilder.Fraction(dateTimeFieldType0, 2000, 2000);
    DateTimeFormatter dateTimeFormatter0 = new DateTimeFormatter((DateTimePrinter) null, dateTimeFormatterBuilder_Fraction0);
    DateTimeFormatter dateTimeFormatter1 = dateTimeFormatter0.withDefaultYear(2147483573);
    CopticChronology copticChronology0 = CopticChronology.getInstance();
    DateTimeFormatter dateTimeFormatter2 = dateTimeFormatter1.withChronology(copticChronology0);
    ZoneOffset zoneOffset0 = ZoneOffset.MIN;
    TimeZone timeZone0 = TimeZone.getTimeZone((ZoneId) zoneOffset0);
    DateTimeZone dateTimeZone0 = DateTimeZone.forTimeZone(timeZone0);
    copticChronology0.withZone(dateTimeZone0);
    dateTimeFormatter2.withZoneUTC();
    DateTimeFormatter dateTimeFormatter3 = dateTimeFormatter0.withPivotYear((Integer) null);
    dateTimeFormatter3.printTo((Writer) null, (ReadableInstant) null);
    dateTimeFormatter0.withChronology(copticChronology0);
}",0,
project,0,test0088,"public void test0088() throws Throwable {
    DateTimeFormatterBuilder.StringLiteral dateTimeFormatterBuilder_StringLiteral0 = new DateTimeFormatterBuilder.StringLiteral("""");
    DateTimeFormatter dateTimeFormatter0 = new DateTimeFormatter(dateTimeFormatterBuilder_StringLiteral0, dateTimeFormatterBuilder_StringLiteral0);
    Integer integer0 = new Integer(314);
    DateTimeFormatter dateTimeFormatter1 = dateTimeFormatter0.withOffsetParsed();
    dateTimeFormatter1.parseDateTime("""");
    StringBuffer stringBuffer0 = new StringBuffer(314);
    dateTimeFormatter0.printTo(stringBuffer0, (-2114L));
    DateTimeZone.getDefault();
    CharArrayWriter charArrayWriter0 = new CharArrayWriter();
    dateTimeFormatter1.printTo((Writer) charArrayWriter0, (long) 314);
    LocalDate localDate0 = dateTimeFormatter1.parseLocalDate("""");
    stringBuffer0.setLength(314);
    FileSystemHandling.shouldAllThrowIOExceptions();
    DateTimeFormatter dateTimeFormatter2 = dateTimeFormatter1.withOffsetParsed();
    dateTimeFormatter1.isParser();
    dateTimeFormatter2.parseDateTime("""");
    Locale locale0 = Locale.KOREA;
    dateTimeFormatterBuilder_StringLiteral0.printTo((Writer) charArrayWriter0, (ReadablePartial) localDate0, locale0);
    Chronology chronology0 = null;
    dateTimeFormatter0.parseDateTime(""The datetime zone must not be null"");
    LenientChronology lenientChronology0 = LenientChronology.getInstance(chronology0);
    dateTimeFormatter0.withChronology(lenientChronology0);
}",0,
project,0,test0099,"public void test0099() throws Throwable {
    DateTimeFieldType dateTimeFieldType0 = DateTimeFieldType.yearOfEra();
    FileSystemHandling.setPermissions((EvoSuiteFile) null, false, false, false);
    DateTimeFormatterBuilder.UnpaddedNumber dateTimeFormatterBuilder_UnpaddedNumber0 = new DateTimeFormatterBuilder.UnpaddedNumber(dateTimeFieldType0, (-706), true);
    DateTimeFormatter dateTimeFormatter0 = new DateTimeFormatter(dateTimeFormatterBuilder_UnpaddedNumber0, dateTimeFormatterBuilder_UnpaddedNumber0);
    dateTimeFormatter0.withZoneUTC();
    Locale locale0 = Locale.FRANCE;
    DateTimeFormatter dateTimeFormatter1 = dateTimeFormatter0.withPivotYear((-706));
    DateTimeFormatter dateTimeFormatter2 = dateTimeFormatter1.withZoneUTC();
    DateTimeFormatter dateTimeFormatter3 = dateTimeFormatter2.withPivotYear((-706));
    GJChronology gJChronology0 = GJChronology.getInstanceUTC();
    Integer integer0 = new Integer((-706));
    DateTimeParserBucket dateTimeParserBucket0 = new DateTimeParserBucket((-706), gJChronology0, locale0, integer0, (-706));
    DateTimeZone dateTimeZone0 = dateTimeParserBucket0.getZone();
    DateTimeUtils.MillisProvider dateTimeUtils_MillisProvider0 = mock(DateTimeUtils.MillisProvider.class, new ViolatedAssumptionAnswer());
    doReturn((long) (-706)).when(dateTimeUtils_MillisProvider0).getMillis();
    DateTimeUtils.setCurrentMillisProvider(dateTimeUtils_MillisProvider0);
    dateTimeParserBucket0.computeMillis();
    MutableDateTime mutableDateTime0 = new MutableDateTime(dateTimeZone0);
    dateTimeFormatter3.parseInto(mutableDateTime0, ""6?OG."", (-706));
    System.setCurrentTimeMillis(4121L);
    MockFileOutputStream mockFileOutputStream0 = new MockFileOutputStream(""6?OG."", true);
    MockPrintWriter mockPrintWriter0 = new MockPrintWriter(mockFileOutputStream0, true);
    dateTimeFormatter1.printTo((Appendable) mockPrintWriter0, (long) 3);
}",0,
project,0,test01212,"public void test01212() throws Throwable {
    FileSystemHandling.setPermissions((EvoSuiteFile) null, true, false, true);
    DateTimeFieldType dateTimeFieldType0 = DateTimeFieldType.dayOfMonth();
    DateTimeFormatterBuilder.TextField dateTimeFormatterBuilder_TextField0 = new DateTimeFormatterBuilder.TextField(dateTimeFieldType0, false);
    DateTimeFormatter dateTimeFormatter0 = new DateTimeFormatter(dateTimeFormatterBuilder_TextField0, dateTimeFormatterBuilder_TextField0);
    FixedDateTimeZone fixedDateTimeZone0 = (FixedDateTimeZone) DateTimeZone.UTC;
    BuddhistChronology buddhistChronology0 = BuddhistChronology.getInstance((DateTimeZone) fixedDateTimeZone0);
    DateTimeFormatter dateTimeFormatter1 = dateTimeFormatter0.withChronology(buddhistChronology0);
    DateTimeFormatter dateTimeFormatter2 = dateTimeFormatter1.withOffsetParsed();
    DateTimeFormatter dateTimeFormatter3 = dateTimeFormatter2.withZoneUTC();
    byte[] byteArray0 = new byte[4];
    byteArray0[1] = (byte) 9;
    byteArray0[1] = (byte) 6;
    byteArray0[2] = (byte) 0;
    byteArray0[3] = (byte) (-83);
    FileSystemHandling.appendDataToFile((EvoSuiteFile) null, byteArray0);
    DateTimeFormatter dateTimeFormatter4 = dateTimeFormatter3.withPivotYear(1);
    CharArrayWriter charArrayWriter0 = new CharArrayWriter();
    CharArrayWriter charArrayWriter1 = charArrayWriter0.append('X');
    dateTimeFormatter3.printTo((Writer) charArrayWriter1, (ReadablePartial) null);
    dateTimeFormatter2.getParser();
    String string0 = """";
    dateTimeFormatter4.parseLocalDate(string0);
    String string1 = """";
    dateTimeFormatter3.parseMutableDateTime(string1);
    String string2 = """";
    MutableDateTime mutableDateTime0 = MutableDateTime.parse(string2, dateTimeFormatter0);
    String string3 = ""Ox\\M O:\\KqaO"";
    dateTimeFormatter4.parseInto(mutableDateTime0, string3, byteArray0[2]);
    dateTimeFormatter0.printTo((Writer) charArrayWriter0, (ReadableInstant) mutableDateTime0);
}",0,
project,0,test01313,"public void test01313() throws Throwable {
    FileSystemHandling.setPermissions((EvoSuiteFile) null, true, false, true);
    DateTimeFieldType dateTimeFieldType0 = DateTimeFieldType.dayOfMonth();
    DateTimeFormatterBuilder.TextField dateTimeFormatterBuilder_TextField0 = new DateTimeFormatterBuilder.TextField(dateTimeFieldType0, false);
    DateTimeFormatter dateTimeFormatter0 = new DateTimeFormatter(dateTimeFormatterBuilder_TextField0, dateTimeFormatterBuilder_TextField0);
    FixedDateTimeZone fixedDateTimeZone0 = (FixedDateTimeZone) DateTimeZone.UTC;
    BuddhistChronology buddhistChronology0 = BuddhistChronology.getInstance((DateTimeZone) fixedDateTimeZone0);
    DateTimeFormatter dateTimeFormatter1 = dateTimeFormatter0.withChronology(buddhistChronology0);
    DateTimeFormatter dateTimeFormatter2 = dateTimeFormatter1.withOffsetParsed();
    DateTimeFormatter dateTimeFormatter3 = dateTimeFormatter2.withZoneUTC();
    byte[] byteArray0 = new byte[4];
    byteArray0[0] = (byte) 9;
    byteArray0[1] = (byte) 6;
    byteArray0[2] = (byte) 0;
    byteArray0[3] = (byte) (-83);
    FileSystemHandling.appendDataToFile((EvoSuiteFile) null, byteArray0);
    DateTimeFormatter dateTimeFormatter4 = dateTimeFormatter3.withPivotYear(1);
    CharArrayWriter charArrayWriter0 = new CharArrayWriter();
    CharArrayWriter charArrayWriter1 = charArrayWriter0.append('X');
    dateTimeFormatter3.printTo((Writer) charArrayWriter1, (ReadablePartial) null);
    dateTimeFormatter2.getParser();
    String string0 = """";
    dateTimeFormatter4.parseLocalDate(string0);
    String string1 = """";
    MutableDateTime mutableDateTime0 = MutableDateTime.parse(string1, dateTimeFormatter0);
    String string2 = ""Ox\\M O:\\KqaO"";
    dateTimeFormatter4.parseInto(mutableDateTime0, string2, byteArray0[2]);
    dateTimeFormatter0.printTo((Writer) charArrayWriter0, (ReadableInstant) mutableDateTime0);
}",0,
project,0,test01414,"public void test01414() throws Throwable {
    DateTimeFieldType dateTimeFieldType0 = DateTimeFieldType.weekyearOfCentury();
    DateTimeFormatterBuilder.PaddedNumber dateTimeFormatterBuilder_PaddedNumber0 = new DateTimeFormatterBuilder.PaddedNumber(dateTimeFieldType0, 12, true, 12);
    DateTimeFormatter dateTimeFormatter0 = new DateTimeFormatter(dateTimeFormatterBuilder_PaddedNumber0, dateTimeFormatterBuilder_PaddedNumber0);
    TimeZone timeZone0 = TimeZone.getDefault();
    DateTimeZone dateTimeZone0 = DateTimeZone.forTimeZone(timeZone0);
    DateTimeFormatter dateTimeFormatter1 = dateTimeFormatter0.withZone(dateTimeZone0);
    DateTimeFormatter dateTimeFormatter2 = dateTimeFormatter1.withZoneUTC();
    byte[] byteArray0 = new byte[1];
    FileSystemHandling.appendDataToFile((EvoSuiteFile) null, byteArray0);
    DateTimeFormatter dateTimeFormatter3 = dateTimeFormatter2.withDefaultYear((-1483));
    EthiopicChronology ethiopicChronology0 = EthiopicChronology.getInstance(dateTimeZone0);
    Chronology chronology0 = ethiopicChronology0.withUTC();
    DateTimeUtils.setCurrentMillisOffset((-1483));
    DateTimeFormatter dateTimeFormatter4 = dateTimeFormatter3.withChronology(chronology0);
    dateTimeFormatter4.print((-61L));
    dateTimeFormatter1.parseMutableDateTime(""000000000063"");
    dateTimeFormatter3.isParser();
    dateTimeFormatter4.withOffsetParsed();
    DateTimeFormatter dateTimeFormatter5 = dateTimeFormatter3.withZone(dateTimeZone0);
    dateTimeFormatter5.parseMutableDateTime(""000000000063"");
    dateTimeFormatter5.parseMutableDateTime(""000000000063"");
    LocalTime localTime0 = LocalTime.now();
    dateTimeFormatter5.print((ReadablePartial) localTime0);
    dateTimeFormatter3.print((-28799686L));
}",0,
