focal_method,test_prefix,docstring
"public Complex parse(String source) throws ParseException {
    ParsePosition parsePosition = new ParsePosition(0);
    Complex result = parse(source, parsePosition);
    if (parsePosition.getIndex() == 0) {
        throw new ParseException(""Unparseable complex number: \"""" + source + ""\"""", parsePosition.getErrorIndex());
    }
    return result;
}","public void test000() throws Throwable {
    Locale locale0 = Locale.PRC;
    NumberFormat numberFormat0 = NumberFormat.getInstance(locale0);
    ComplexFormat complexFormat0 = new ComplexFormat(""4;*g7VZ+41P/"", numberFormat0);
    try {
        complexFormat0.parse(""Ug>0X'ASH!O"");
        fail(""Expecting exception: ParseException"");
    } catch (ParseException e) {
        //
        // Unparseable complex number: \""Ug>0X'ASH!O\""
        //
        verifyException(""org.apache.commons.math.complex.ComplexFormat"", e);
    }
}","/**
 * Parses a string to produce a {@link Complex} object.
 *
 * @param source the string to parse
 * @return the parsed {@link Complex} object.
 * @exception ParseException if the beginning of the specified string
 *            cannot be parsed.
 */"
"public double getImaginary() {
    return imaginary;
}","public void test035() throws Throwable {
    ComplexFormat complexFormat0 = ComplexFormat.getInstance();
    Complex complex0 = complexFormat0.parse(""(NaN) - 3,737.92i"");
    assertEquals((-3737.92), complex0.getImaginary(), 0.01);
}","/**
 * Access the imaginary part.
 *
 * @return the imaginary part
 */"
"public Complex parse(String source) throws ParseException {
    ParsePosition parsePosition = new ParsePosition(0);
    Complex result = parse(source, parsePosition);
    if (parsePosition.getIndex() == 0) {
        throw new ParseException(""Unparseable complex number: \"""" + source + ""\"""", parsePosition.getErrorIndex());
    }
    return result;
}","public void test036() throws Throwable {
    ComplexFormat complexFormat0 = ComplexFormat.getInstance();
    Complex complex0 = complexFormat0.parse(""(NaN) - 3,737.92i"");
    assertNotNull(complex0);
}","/**
 * Parses a string to produce a {@link Complex} object.
 *
 * @param source the string to parse
 * @return the parsed {@link Complex} object.
 * @exception ParseException if the beginning of the specified string
 *            cannot be parsed.
 */"
"public double abs() {
    if (isNaN()) {
        return Double.NaN;
    }
    if (isInfinite()) {
        return Double.POSITIVE_INFINITY;
    }
    if (Math.abs(real) < Math.abs(imaginary)) {
        if (imaginary == 0.0) {
            return Math.abs(real);
        }
        double q = real / imaginary;
        return (Math.abs(imaginary) * Math.sqrt(1 + q * q));
    } else {
        if (real == 0.0) {
            return Math.abs(imaginary);
        }
        double q = imaginary / real;
        return (Math.abs(real) * Math.sqrt(1 + q * q));
    }
}","public void test047() throws Throwable {
    ComplexFormat complexFormat0 = ComplexFormat.getInstance();
    Complex complex0 = complexFormat0.parse(""-529.25"");
    assertEquals(529.25, complex0.abs(), 0.01);
}","/**
 * Return the absolute value of this complex number.
 * <p>
 * Returns <code>NaN</code> if either real or imaginary part is
 * <code>NaN</code> and <code>Double.POSITIVE_INFINITY</code> if
 * neither part is <code>NaN</code>, but at least one part takes an infinite
 * value.</p>
 *
 * @return the absolute value
 */"
"public double getReal() {
    return real;
}","public void test048() throws Throwable {
    ComplexFormat complexFormat0 = ComplexFormat.getInstance();
    Complex complex0 = complexFormat0.parse(""-529.25"");
    assertEquals((-529.25), complex0.getReal(), 0.01);
}","/**
 * Access the real part.
 *
 * @return the real part
 */"
"public NumberFormat getRealFormat() {
    return realFormat;
}","public void test0711() throws Throwable {
    NumberFormat numberFormat0 = NumberFormat.getIntegerInstance();
    ComplexFormat complexFormat0 = new ComplexFormat(numberFormat0);
    NumberFormat numberFormat1 = complexFormat0.getRealFormat();
    assertSame(numberFormat1, numberFormat0);
}","/**
 * Access the realFormat.
 * @return the realFormat.
 */"
"public NumberFormat getImaginaryFormat() {
    return imaginaryFormat;
}","public void test0913() throws Throwable {
    NumberFormat numberFormat0 = NumberFormat.getIntegerInstance();
    ComplexFormat complexFormat0 = new ComplexFormat(numberFormat0, numberFormat0);
    numberFormat0.setMaximumIntegerDigits((-3646));
    NumberFormat numberFormat1 = complexFormat0.getImaginaryFormat();
    assertSame(numberFormat1, numberFormat0);
}","/**
 * Access the imaginaryFormat.
 * @return the imaginaryFormat.
 */"
"public Object parseObject(String source, ParsePosition pos) {
    return parse(source, pos);
}","public void test1116() throws Throwable {
    ComplexFormat complexFormat0 = ComplexFormat.getInstance();
    ParsePosition parsePosition0 = new ParsePosition((-859));
    // Undeclared exception!
    try {
        complexFormat0.parseObject(""org.apache.commons.math.complex.Complex"", parsePosition0);
        fail(""Expecting exception: StringIndexOutOfBoundsException"");
    } catch (StringIndexOutOfBoundsException e) {
    }
}","/**
 * Parses a string to produce a object.
 *
 * @param source the string to parse
 * @param pos input/ouput parsing parameter.
 * @return the parsed object.
 * @see java.text.Format#parseObject(java.lang.String, java.text.ParsePosition)
 */"
"public Object parseObject(String source, ParsePosition pos) {
    return parse(source, pos);
}","public void test1217() throws Throwable {
    DecimalFormat decimalFormat0 = new DecimalFormat();
    ComplexFormat complexFormat0 = new ComplexFormat(decimalFormat0);
    // Undeclared exception!
    try {
        complexFormat0.parseObject(""gh9~[{+lL"", (ParsePosition) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.math.complex.ComplexFormat"", e);
    }
}","/**
 * Parses a string to produce a object.
 *
 * @param source the string to parse
 * @param pos input/ouput parsing parameter.
 * @return the parsed object.
 * @see java.text.Format#parseObject(java.lang.String, java.text.ParsePosition)
 */"
"public Complex parse(String source, ParsePosition pos) {
    int initialIndex = pos.getIndex();
    // parse whitespace
    parseAndIgnoreWhitespace(source, pos);
    // parse real
    Number re = parseNumber(source, getRealFormat(), pos);
    if (re == null) {
        // invalid real number
        // set index back to initial, error index should already be set
        // character examined.
        pos.setIndex(initialIndex);
        return null;
    }
    // parse sign
    int startIndex = pos.getIndex();
    char c = parseNextCharacter(source, pos);
    int sign = 0;
    switch(c) {
        case 0:
            // no sign
            // return real only complex number
            return new Complex(re.doubleValue(), 0.0);
        case '-':
            sign = -1;
            break;
        case '+':
            sign = 1;
            break;
        default:
            // invalid sign
            // set index back to initial, error index should be the last
            // character examined.
            pos.setIndex(initialIndex);
            pos.setErrorIndex(startIndex);
            return null;
    }
    // parse whitespace
    parseAndIgnoreWhitespace(source, pos);
    // parse imaginary
    Number im = parseNumber(source, getRealFormat(), pos);
    if (im == null) {
        // invalid imaginary number
        // set index back to initial, error index should already be set
        // character examined.
        pos.setIndex(initialIndex);
        return null;
    }
    // parse imaginary character
    int n = getImaginaryCharacter().length();
    startIndex = pos.getIndex();
    int endIndex = startIndex + n;
    if (source.substring(startIndex, endIndex).compareTo(getImaginaryCharacter()) != 0) {
        // set index back to initial, error index should be the start index
        // character examined.
        pos.setIndex(initialIndex);
        pos.setErrorIndex(startIndex);
        return null;
    }
    pos.setIndex(endIndex);
    return new Complex(re.doubleValue(), im.doubleValue() * sign);
}","public void test1318() throws Throwable {
    ComplexFormat complexFormat0 = ComplexFormat.getInstance();
    ParsePosition parsePosition0 = new ParsePosition((-3316));
    // Undeclared exception!
    try {
        complexFormat0.parse("""", parsePosition0);
        fail(""Expecting exception: StringIndexOutOfBoundsException"");
    } catch (StringIndexOutOfBoundsException e) {
    }
}","/**
 * Parses a string to produce a {@link Complex} object.
 *
 * @param source the string to parse
 * @param pos input/ouput parsing parameter.
 * @return the parsed {@link Complex} object.
 */"
"public Complex parse(String source, ParsePosition pos) {
    int initialIndex = pos.getIndex();
    // parse whitespace
    parseAndIgnoreWhitespace(source, pos);
    // parse real
    Number re = parseNumber(source, getRealFormat(), pos);
    if (re == null) {
        // invalid real number
        // set index back to initial, error index should already be set
        // character examined.
        pos.setIndex(initialIndex);
        return null;
    }
    // parse sign
    int startIndex = pos.getIndex();
    char c = parseNextCharacter(source, pos);
    int sign = 0;
    switch(c) {
        case 0:
            // no sign
            // return real only complex number
            return new Complex(re.doubleValue(), 0.0);
        case '-':
            sign = -1;
            break;
        case '+':
            sign = 1;
            break;
        default:
            // invalid sign
            // set index back to initial, error index should be the last
            // character examined.
            pos.setIndex(initialIndex);
            pos.setErrorIndex(startIndex);
            return null;
    }
    // parse whitespace
    parseAndIgnoreWhitespace(source, pos);
    // parse imaginary
    Number im = parseNumber(source, getRealFormat(), pos);
    if (im == null) {
        // invalid imaginary number
        // set index back to initial, error index should already be set
        // character examined.
        pos.setIndex(initialIndex);
        return null;
    }
    // parse imaginary character
    int n = getImaginaryCharacter().length();
    startIndex = pos.getIndex();
    int endIndex = startIndex + n;
    if (source.substring(startIndex, endIndex).compareTo(getImaginaryCharacter()) != 0) {
        // set index back to initial, error index should be the start index
        // character examined.
        pos.setIndex(initialIndex);
        pos.setErrorIndex(startIndex);
        return null;
    }
    pos.setIndex(endIndex);
    return new Complex(re.doubleValue(), im.doubleValue() * sign);
}","public void test1419() throws Throwable {
    ComplexFormat complexFormat0 = new ComplexFormat();
    ParsePosition parsePosition0 = new ParsePosition((-3226));
    // Undeclared exception!
    try {
        complexFormat0.parse((String) null, parsePosition0);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.math.complex.ComplexFormat"", e);
    }
}","/**
 * Parses a string to produce a {@link Complex} object.
 *
 * @param source the string to parse
 * @param pos input/ouput parsing parameter.
 * @return the parsed {@link Complex} object.
 */"
"public Complex parse(String source) throws ParseException {
    ParsePosition parsePosition = new ParsePosition(0);
    Complex result = parse(source, parsePosition);
    if (parsePosition.getIndex() == 0) {
        throw new ParseException(""Unparseable complex number: \"""" + source + ""\"""", parsePosition.getErrorIndex());
    }
    return result;
}","public void test1520() throws Throwable {
    NumberFormat numberFormat0 = NumberFormat.getCurrencyInstance();
    ComplexFormat complexFormat0 = new ComplexFormat(""&5%nG*9%D1/z|4?}@s"", numberFormat0, numberFormat0);
    // Undeclared exception!
    try {
        complexFormat0.parse((String) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
        verifyException(""org.apache.commons.math.complex.ComplexFormat"", e);
    }
}","/**
 * Parses a string to produce a {@link Complex} object.
 *
 * @param source the string to parse
 * @return the parsed {@link Complex} object.
 * @exception ParseException if the beginning of the specified string
 *            cannot be parsed.
 */"
"public static ComplexFormat getInstance(Locale locale) {
    NumberFormat f = getDefaultNumberFormat(locale);
    return new ComplexFormat(f);
}","public void test1621() throws Throwable {
    // Undeclared exception!
    try {
        ComplexFormat.getInstance((Locale) null);
        fail(""Expecting exception: NullPointerException"");
    } catch (NullPointerException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}","/**
 * Returns the default complex format for the given locale.
 * @param locale the specific locale used by the format.
 * @return the complex format specific to the given locale.
 */"
