project,bug_num,test_name,test_prefix,except_pred,assert_pred
project,0,test000,"public void test000() throws Throwable {
    byte[] byteArray0 = new byte[8];
    byteArray0[0] = (byte) 63;
    byteArray0[1] = (byte) (-103);
    byteArray0[2] = (byte) 111;
    byteArray0[3] = (byte) 116;
    byteArray0[4] = (byte) (-88);
    byteArray0[5] = (byte) 0;
    byteArray0[6] = (byte) 69;
    byteArray0[7] = (byte) 118;
    FileSystemHandling.appendDataToFile((EvoSuiteFile) null, byteArray0);
    System.setCurrentTimeMillis((-980L));
    System.setCurrentTimeMillis((-980L));
    System.setCurrentTimeMillis(25L);
    System.setCurrentTimeMillis((byte) (-88));
    System.setCurrentTimeMillis(1L);
    System.setCurrentTimeMillis((byte) 118);
    JsonParser[] jsonParserArray0 = new JsonParser[6];
    BufferRecycler bufferRecycler0 = new BufferRecycler((byte) 0, 46);
    IOContext iOContext0 = new IOContext(bufferRecycler0, bufferRecycler0, true);
    JsonEncoding jsonEncoding0 = JsonEncoding.UTF16_LE;
    IOContext iOContext1 = iOContext0.withEncoding(jsonEncoding0);
    ByteArrayInputStream byteArrayInputStream0 = new ByteArrayInputStream(byteArray0, (-2232), 3);
    DataInputStream dataInputStream0 = new DataInputStream(byteArrayInputStream0);
    StringReader stringReader0 = new StringReader(""j0~<eDz"");
    ObjectCodec objectCodec0 = mock(ObjectCodec.class, new ViolatedAssumptionAnswer());
    CharsToNameCanonicalizer charsToNameCanonicalizer0 = CharsToNameCanonicalizer.createRoot();
    ReaderBasedJsonParser readerBasedJsonParser0 = new ReaderBasedJsonParser(iOContext0, (byte) (-88), stringReader0, objectCodec0, charsToNameCanonicalizer0);
    JsonParserSequence jsonParserSequence0 = JsonParserSequence.createFlattened(readerBasedJsonParser0, readerBasedJsonParser0);
    ObjectCodec objectCodec1 = jsonParserSequence0.getCodec();
    ByteQuadsCanonicalizer byteQuadsCanonicalizer0 = ByteQuadsCanonicalizer.createRoot();
    UTF8DataInputJsonParser uTF8DataInputJsonParser0 = new UTF8DataInputJsonParser(iOContext1, (byte) (-88), dataInputStream0, objectCodec1, byteQuadsCanonicalizer0, 224);
    jsonParserArray0[0] = (JsonParser) uTF8DataInputJsonParser0;
    JsonParser.Feature jsonParser_Feature0 = JsonParser.Feature.ALLOW_MISSING_VALUES;
    JsonParser jsonParser0 = jsonParserSequence0.configure(jsonParser_Feature0, false);
    jsonParserArray0[1] = jsonParser0;
    JsonParser jsonParser1 = jsonParserSequence0.overrideStdFeatures((byte) 69, 4096);
    jsonParserArray0[2] = jsonParser1;
    JsonParser jsonParser2 = readerBasedJsonParser0.skipChildren();
    jsonParserArray0[3] = jsonParser2;
    JsonParser jsonParser3 = jsonParserSequence0.enable(jsonParser_Feature0);
    jsonParserArray0[4] = jsonParser3;
    DataInputStream dataInputStream1 = new DataInputStream(dataInputStream0);
    UTF8DataInputJsonParser uTF8DataInputJsonParser1 = new UTF8DataInputJsonParser(iOContext0, (byte) 118, dataInputStream1, objectCodec1, byteQuadsCanonicalizer0, 1);
    jsonParserArray0[5] = (JsonParser) uTF8DataInputJsonParser1;
    JsonParserSequence jsonParserSequence1 = new JsonParserSequence(jsonParserArray0);
    // Undeclared exception!
    try {
        jsonParserSequence1.nextToken();
        fail(""Expecting exception: ArrayIndexOutOfBoundsException"");
    } catch (ArrayIndexOutOfBoundsException e) {
        //
        // -2232
        //
        verifyException(""java.io.ByteArrayInputStream"", e);
    }
}",0,
project,0,test011,"public void test011() throws Throwable {
    BufferRecycler bufferRecycler0 = new BufferRecycler();
    IOContext iOContext0 = new IOContext(bufferRecycler0, bufferRecycler0, true);
    StringReader stringReader0 = new StringReader(""/"");
    CharsToNameCanonicalizer charsToNameCanonicalizer0 = CharsToNameCanonicalizer.createRoot();
    char[] charArray0 = new char[1];
    charArray0[0] = '3';
    ReaderBasedJsonParser readerBasedJsonParser0 = new ReaderBasedJsonParser(iOContext0, 3, stringReader0, (ObjectCodec) null, charsToNameCanonicalizer0, charArray0, 3, 3, true);
    JsonParser.Feature jsonParser_Feature0 = JsonParser.Feature.STRICT_DUPLICATE_DETECTION;
    JsonParser jsonParser0 = readerBasedJsonParser0.enable(jsonParser_Feature0);
    JsonParserDelegate jsonParserDelegate0 = new JsonParserDelegate(jsonParser0);
    JsonParserSequence jsonParserSequence0 = JsonParserSequence.createFlattened(jsonParserDelegate0, readerBasedJsonParser0);
    try {
        jsonParserSequence0.nextToken();
        fail(""Expecting exception: IOException"");
    } catch (IOException e) {
        //
        // Unexpected end-of-input in a comment
        //  at [Source: com.fasterxml.jackson.core.util.BufferRecycler@0000000012; line: 1, column: 6]
        //
        verifyException(""com.fasterxml.jackson.core.base.ParserMinimalBase"", e);
    }
}",0,
project,0,test022,"public void test022() throws Throwable {
    JsonParser[] jsonParserArray0 = new JsonParser[1];
    BufferRecycler bufferRecycler0 = new BufferRecycler();
    IOContext iOContext0 = new IOContext(bufferRecycler0, (Object) null, false);
    StringReader stringReader0 = new StringReader(""Qm_^`doOo"");
    CharsToNameCanonicalizer charsToNameCanonicalizer0 = CharsToNameCanonicalizer.createRoot();
    ReaderBasedJsonParser readerBasedJsonParser0 = new ReaderBasedJsonParser(iOContext0, 0, stringReader0, (ObjectCodec) null, charsToNameCanonicalizer0);
    JsonParserSequence jsonParserSequence0 = JsonParserSequence.createFlattened(readerBasedJsonParser0, readerBasedJsonParser0);
    JsonParserSequence jsonParserSequence1 = JsonParserSequence.createFlattened(jsonParserSequence0, jsonParserSequence0);
    jsonParserSequence1._nextParser = (-1559);
    jsonParserArray0[0] = (JsonParser) jsonParserSequence1;
    JsonParserSequence jsonParserSequence2 = new JsonParserSequence(jsonParserArray0);
    // Undeclared exception!
    try {
        jsonParserSequence2.close();
        fail(""Expecting exception: ArrayIndexOutOfBoundsException"");
    } catch (ArrayIndexOutOfBoundsException e) {
        //
        // -1559
        //
        verifyException(""com.fasterxml.jackson.core.util.JsonParserSequence"", e);
    }
}",0,
project,0,test033,"public void test033() throws Throwable {
    JsonParser[] jsonParserArray0 = new JsonParser[1];
    BufferRecycler bufferRecycler0 = new BufferRecycler();
    IOContext iOContext0 = new IOContext(bufferRecycler0, (Object) null, false);
    StringReader stringReader0 = new StringReader(""Qm_^`doOo"");
    CharsToNameCanonicalizer charsToNameCanonicalizer0 = CharsToNameCanonicalizer.createRoot();
    ReaderBasedJsonParser readerBasedJsonParser0 = new ReaderBasedJsonParser(iOContext0, 0, stringReader0, (ObjectCodec) null, charsToNameCanonicalizer0);
    JsonParserSequence jsonParserSequence0 = JsonParserSequence.createFlattened(readerBasedJsonParser0, readerBasedJsonParser0);
    JsonParserSequence jsonParserSequence1 = JsonParserSequence.createFlattened(jsonParserSequence0, jsonParserSequence0);
    jsonParserArray0[0] = (JsonParser) jsonParserSequence1;
    stringReader0.reset();
    jsonParserSequence1._nextParser = 81;
    JsonParserSequence jsonParserSequence2 = new JsonParserSequence(jsonParserArray0);
    jsonParserSequence2.close();
    jsonParserSequence0.nextToken();
    // Undeclared exception!
    try {
        JsonParserSequence.createFlattened(jsonParserSequence2, jsonParserArray0[0]);
        fail(""Expecting exception: ArrayIndexOutOfBoundsException"");
    } catch (ArrayIndexOutOfBoundsException e) {
        //
        // 0
        //
        verifyException(""com.fasterxml.jackson.core.util.JsonParserSequence"", e);
    }
}",0,
project,0,test044,"public void test044() throws Throwable {
    byte[] byteArray0 = new byte[7];
    byteArray0[0] = (byte) (-86);
    byteArray0[1] = (byte) 1;
    byteArray0[2] = (byte) 75;
    byteArray0[3] = (byte) 25;
    byteArray0[4] = (byte) 50;
    byteArray0[5] = (byte) (-1);
    byteArray0[6] = (byte) (-122);
    FileSystemHandling.appendDataToFile((EvoSuiteFile) null, byteArray0);
    JsonParser[] jsonParserArray0 = new JsonParser[1];
    BufferRecycler bufferRecycler0 = new BufferRecycler();
    IOContext iOContext0 = new IOContext(bufferRecycler0, (Object) null, false);
    StringReader stringReader0 = new StringReader(""Qm_^`doOo"");
    CharsToNameCanonicalizer charsToNameCanonicalizer0 = CharsToNameCanonicalizer.createRoot();
    ReaderBasedJsonParser readerBasedJsonParser0 = new ReaderBasedJsonParser(iOContext0, 0, stringReader0, (ObjectCodec) null, charsToNameCanonicalizer0);
    JsonParserSequence jsonParserSequence0 = JsonParserSequence.createFlattened(readerBasedJsonParser0, readerBasedJsonParser0);
    JsonParserSequence jsonParserSequence1 = (JsonParserSequence) jsonParserSequence0.skipChildren();
    jsonParserSequence1._nextParser = (-2023);
    jsonParserArray0[0] = (JsonParser) jsonParserSequence1;
    // Undeclared exception!
    try {
        JsonParserSequence.createFlattened(jsonParserSequence0, jsonParserArray0[0]);
        fail(""Expecting exception: ArrayIndexOutOfBoundsException"");
    } catch (ArrayIndexOutOfBoundsException e) {
        //
        // no message in exception (getMessage() returned null)
        //
    }
}",0,
project,0,test055,"public void test055() throws Throwable {
    System.setCurrentTimeMillis((-2288L));
    TokenFilter tokenFilter0 = TokenFilter.INCLUDE_ALL;
    FilteringParserDelegate filteringParserDelegate0 = new FilteringParserDelegate((JsonParser) null, tokenFilter0, false, false);
    JsonParserSequence jsonParserSequence0 = JsonParserSequence.createFlattened(filteringParserDelegate0, (JsonParser) null);
    jsonParserSequence0._nextParser = 4710;
    JsonParserSequence jsonParserSequence1 = JsonParserSequence.createFlattened(jsonParserSequence0, filteringParserDelegate0);
    JsonParserSequence jsonParserSequence2 = JsonParserSequence.createFlattened(filteringParserDelegate0, jsonParserSequence1);
    assertEquals(1, jsonParserSequence1.containedParsersCount());
}",0,
project,0,test056,"public void test056() throws Throwable {
    System.setCurrentTimeMillis((-2288L));
    TokenFilter tokenFilter0 = TokenFilter.INCLUDE_ALL;
    FilteringParserDelegate filteringParserDelegate0 = new FilteringParserDelegate((JsonParser) null, tokenFilter0, false, false);
    JsonParserSequence jsonParserSequence0 = JsonParserSequence.createFlattened(filteringParserDelegate0, (JsonParser) null);
    jsonParserSequence0._nextParser = 4710;
    JsonParserSequence jsonParserSequence1 = JsonParserSequence.createFlattened(jsonParserSequence0, filteringParserDelegate0);
    JsonParserSequence jsonParserSequence2 = JsonParserSequence.createFlattened(filteringParserDelegate0, jsonParserSequence1);
    assertEquals(2, jsonParserSequence2.containedParsersCount());
}",0,
project,0,test067,"public void test067() throws Throwable {
    JsonParser[] jsonParserArray0 = new JsonParser[1];
    BufferRecycler bufferRecycler0 = new BufferRecycler();
    IOContext iOContext0 = new IOContext(bufferRecycler0, (Object) null, false);
    StringReader stringReader0 = new StringReader(""Qm_^`doOo"");
    stringReader0.reset();
    CharsToNameCanonicalizer charsToNameCanonicalizer0 = CharsToNameCanonicalizer.createRoot();
    ReaderBasedJsonParser readerBasedJsonParser0 = new ReaderBasedJsonParser(iOContext0, 0, stringReader0, (ObjectCodec) null, charsToNameCanonicalizer0);
    JsonParserSequence jsonParserSequence0 = JsonParserSequence.createFlattened(readerBasedJsonParser0, readerBasedJsonParser0);
    JsonParser jsonParser0 = jsonParserSequence0.skipChildren();
    jsonParserArray0[0] = jsonParser0;
    JsonParserSequence jsonParserSequence1 = JsonParserSequence.createFlattened(jsonParserSequence0, jsonParserArray0[0]);
    jsonParserSequence1.close();
    jsonParserSequence0.nextToken();
    JsonParserSequence jsonParserSequence2 = JsonParserSequence.createFlattened(jsonParserSequence0, jsonParserSequence1);
    assertEquals(4, jsonParserSequence1.containedParsersCount());
}",0,
project,0,test068,"public void test068() throws Throwable {
    JsonParser[] jsonParserArray0 = new JsonParser[1];
    BufferRecycler bufferRecycler0 = new BufferRecycler();
    IOContext iOContext0 = new IOContext(bufferRecycler0, (Object) null, false);
    StringReader stringReader0 = new StringReader(""Qm_^`doOo"");
    stringReader0.reset();
    CharsToNameCanonicalizer charsToNameCanonicalizer0 = CharsToNameCanonicalizer.createRoot();
    ReaderBasedJsonParser readerBasedJsonParser0 = new ReaderBasedJsonParser(iOContext0, 0, stringReader0, (ObjectCodec) null, charsToNameCanonicalizer0);
    JsonParserSequence jsonParserSequence0 = JsonParserSequence.createFlattened(readerBasedJsonParser0, readerBasedJsonParser0);
    JsonParser jsonParser0 = jsonParserSequence0.skipChildren();
    jsonParserArray0[0] = jsonParser0;
    JsonParserSequence jsonParserSequence1 = JsonParserSequence.createFlattened(jsonParserSequence0, jsonParserArray0[0]);
    jsonParserSequence1.close();
    jsonParserSequence0.nextToken();
    JsonParserSequence jsonParserSequence2 = JsonParserSequence.createFlattened(jsonParserSequence0, jsonParserSequence1);
    assertEquals(2, jsonParserSequence2.containedParsersCount());
}",0,
project,0,test079,"public void test079() throws Throwable {
    JsonParser[] jsonParserArray0 = new JsonParser[1];
    BufferRecycler bufferRecycler0 = new BufferRecycler();
    IOContext iOContext0 = new IOContext(bufferRecycler0, (Object) null, false);
    StringReader stringReader0 = new StringReader(""Qm_^`doOo"");
    CharsToNameCanonicalizer charsToNameCanonicalizer0 = CharsToNameCanonicalizer.createRoot();
    ReaderBasedJsonParser readerBasedJsonParser0 = new ReaderBasedJsonParser(iOContext0, 0, stringReader0, (ObjectCodec) null, charsToNameCanonicalizer0);
    JsonParserSequence jsonParserSequence0 = JsonParserSequence.createFlattened(readerBasedJsonParser0, readerBasedJsonParser0);
    JsonParser jsonParser0 = jsonParserSequence0.skipChildren();
    jsonParserArray0[0] = jsonParser0;
    JsonParserSequence jsonParserSequence1 = new JsonParserSequence(jsonParserArray0);
    jsonParserSequence1.close();
    assertEquals(0, jsonParserSequence1.getFormatFeatures());
}",0,"assertEquals(0, jsonParserSequence1.getFormatFeatures())"
